Username,Time,Tweet,Retweets,Likes,Interaction Count
Rights To Ricky Sanchez Podcast,2023-09-27T22:31:10.000Z,"Dame to Bucks, Jrue Holiday Available?",1,14,15
Aaron J. Fentress,2023-09-27T23:33:43.000Z,"The Blazers essentially traded Damian Lillard to the Bucks for Jrue Holiday, Grayson Allen, a first-round pick and two swaps. 

That’s all the Bucks gave up. 

Then Portland traded Nurkic, Little, Keon and Allen for Ayton and Camara.  

The value in the Dame trade depends on what…",25,117,142
N8,2023-09-27T23:44:25.000Z,Dame to the bucks cool but don’t forget the Celtics got this secret weapon ,0,4,14
Kden,2023-09-27T22:40:17.000Z,"Alternator check, sportsbook bet, Dame playing for the bucks next....lakers in 5!",0,9,19
First Things First,2023-09-27T23:40:00.000Z,"""I think of Kevin Garnett mostly as a Celtic. This would be the crowning achievement if Dame won a championship [with the Bucks]."" — 
@kevinwildes",13,96,109
Marc J. Spears,2023-09-27T22:45:29.000Z,"Sources to 
@andscape
: With Miami talks going nowhere, agent Aaron Goodwin privately told the Bucks and Nets 10 days ago that Dame would be interested in a deal there. The Raptors were a real contender to land the ex-Blazers star, but ultimately Bucks got it done per Woj report.",1000,2700,3700
𝐿𝒶𝓀𝑒𝓇𝓈 𝒟𝓎𝓃𝒶𝓈𝓉𝓎,2023-09-27T23:08:33.000Z,"Bucks don’t scare me.. 

I’m not going to get sit here and say Oh No Bucks got Dame to pair with Giannis.. what will we ever do? .. 

Bro.. chill and man up.. competition is great.. bring it. Let’s go!! 

Lakers in 4.",5,62,67
𝓑𝓮𝓷𝓳𝓪𝔂,2023-09-27T23:00:16.000Z,"@Dame_Lillard
  @Bucks
 

What will his PPG be this season 

Graphic by me 
@wojespn",5,14,19
NetsKingdom,2023-09-27T22:51:15.000Z,"Damian Lillard Agent privately told the Bucks and Nets 10 days ago that Dame would be interested in a deal there via 
@MarcJSpears",17,164,181
Uncle Ben,2023-09-27T23:30:15.000Z,Per sources: Dame is lactose intolerant. Bucks are doomed.,0,6,16
ᴀᴄʜ™,2023-09-27T22:56:10.000Z,Went to sleep and woke up to Dame being traded to the Bucks?!????,1,23,24
Golden State Warriors Fan,2023-09-27T23:45:56.000Z,Giannis and Dame on the Bucks makes the offense better ,0,4,14
Uz,2023-09-27T23:00:59.000Z,The celtics,1,19,20
Matthew Dias,2023-09-27T23:57:47.000Z,This man,0,4,14
Alex Niemuth,2023-09-27T23:25:18.000Z,Still mind blown that the Bucks traded for Dame to pair with Giannis. Like this is absolutely wild. We have the best duo in the league now and 2 top 10 players. The amount of growth this franchise has had since new ownership and new general management is amazing. Love it.,0,12,12
evan,2023-09-27T23:38:58.000Z,how can i get my hands on a dame bucks jersey,0,0,10
BrookMuse,2023-09-27T22:29:00.000Z,"Crazy crazy evening, Dame going the Bucks through an unexpected Jon Horst Masterclass and also closing in on 1k, just great great times we’re living in right now, gonna call it a day so I wish you all a very very good night hope you all sleep well!
Love BrookMuse",0,10,10
WOJ ARTEST,2023-09-27T23:59:43.000Z,"Dame to the Bucks, I ain’t worried.

Pacers in 7. 

(I’m joking, holy shit Giannis, Dame & Middleton is ridiculous )",1,65,66
Ryan Horvat,2023-09-27T23:58:44.000Z,Hearing from multiple sources - it was actually (part owner) Aaron Rodgers who closed the Dame to Bucks deal.,0,40,40
Water Pistol Pete,2023-09-27T23:50:55.000Z,Still cant believe how little it cost to get Dame. All time heist. The Bucks version of the Lakers/Gasol trade with Memphis,1,7,18
Astro,2023-09-27T23:01:19.000Z,kd and book ofc,0,29,29
Skuba Steve,2023-09-27T23:35:19.000Z,Definitely finna add that Dame bucks Jersey to my collection ,0,0,10
✞rap,2023-09-27T23:56:26.000Z,"@Mbarnes_
 damn when we gone announce gettin dame 
@Bucks
 ?",0,0,10
Mitchell Maurer,2023-09-27T23:27:52.000Z,"Underrated beneficiary of the Bucks/Dame trade: Bobby Portis

Portis won't start but will likely get a bunch of opportunities to run P&R with Lillard, especially in the regular season. If he can be efficient and shoot the ball well, that's a great way to generate points.",5,51,56
,2023-09-27T22:52:36.000Z,"Meanwhile Bucks signed Dame and Giannis in the gym with Hakeem

76ers will never see success LMAO",4,103,107
Home Court aDvantage,2023-09-27T23:11:20.000Z,"I'm told by Celtics fans all year long that player x is bad because they don't play D when it comes to trade ideas. Now these same people are gassing up Dame to the Bucks.

Just pick a value. Do you value D or not? If you do, Dame on the Bucks shouldn't make them runaway   favs",0,5,15
Elder Marques Johnson,2023-09-27T22:32:04.000Z,"Man, we been waiting for someone like you.
#gamechanger",19,525,544
Emmanuel Chokuba,2023-09-27T22:59:31.000Z,"Episode 96. Dame to the #Bucks 
Special guest 
@MikeDobbs94
 and 
@DaRuffWay_
 both #MiamiHeat fans come on the show to talk #DameTime  trade and how it affects the entire NBA. Are the Bucks and #Celtics the 2 best teams in the East? #NBATwitter",5,4,19
JAXSON REED HAYES,2023-09-27T23:13:13.000Z,Focus on your retirement home team bozo,0,13,13
DERELEEK,2023-09-27T22:31:41.000Z,I love that Dame to Bucks trade!,0,2,12
Troy Wohlt,2023-09-27T23:41:34.000Z,"Dame! My favorite non-Buck is now a Buck!!!!  Gonna be more river backflips in Milwaukee June ‘24!  Light it Up!!!

https://fb.watch/nktG8Bt_Wm/?mibextid=M4545i…",0,0,10
Mihir / IG:,2023-09-27T23:18:28.000Z,Dame to the Bucks… we’re so finished man. Bucks are crushing us if we even get past Denver this year,0,11,11
Bopper,2023-09-27T23:30:13.000Z,"Call me crazy but I’d take CURRENT Jrue over CURRENT Dame Lillard any day.

•The Suns get desperately needed depth.

•The Blazers get two young studs who offer more on both ends than an aging Dame could.

•Bucks are losers here in my opinion.",0,1,11
Michael Coonen,2023-09-27T22:38:11.000Z,"We got Dame 
@Bucks
 …let’s go get JT 
@packers
 #FearTheDeer #GoPackGo",0,0,10
csb,2023-09-27T23:19:20.000Z,Dame’s first “getting bucks in Milwaukee” bar is gonna go so hard,0,12,12
Crypto Elwis,2023-09-27T23:46:05.000Z,"Senator Bob Menendez Faces Bribery and Corruption Charges Amidst #Crypto Controversies
#Airdrop #Binance #DeFi #memecoin #pulsechain #Dame #Jrue #Bucks #cryptonewserc20 #Corinthians #cashapptrivia #Lillard #Ethereum #Bitcoin #Pepecoin #NFT #NFTs #BTC",8,8,16
Panthers.alerts,2023-09-27T23:00:57.000Z,Me and bro ,0,0,10
𝕏,2023-09-27T23:08:03.000Z,KD can’t even guard Giannis,0,17,17
Denver Sports,2023-09-27T22:45:00.000Z,"MPJ's reaction to the huge NBA trade on Wednesday that sent Dame to the Bucks was caught on camera | by 
@Shapalicious",3,6,19
,2023-09-27T23:07:42.000Z,The servers,0,29,29
عمر عثمان Mike Tyson’s Translator,2023-09-27T23:01:18.000Z,The refs,0,13,13
yoyocoño,2023-09-27T23:09:42.000Z,This kid said Giannis can’t guard kd bro  you can tell who watches basketball ,0,15,15
Miami Heat Beat (We Just Cover The Team),2023-09-27T22:43:05.000Z,"Make sure to tune in live for the MHB podcast later on tonight. 

LIVE reaction to Dame Lillard to the Bucks, where does Miami go from here and why Joe Cronin is a generational hater

8:30 PM EST",5,14,19
2ndStories,2023-09-27T23:17:11.000Z,This is a weird way to find out Dame is on the bucks,0,0,10
kingjaden23,2023-09-27T23:01:35.000Z,These both relatively healthy players,0,12,12
Jerett,2023-09-27T23:30:09.000Z,We love you to Dame ,0,1,11
Michael Randall,2023-09-27T23:29:24.000Z,"Dame lands at the Bucks, Pippen & LMA in town & just a little game of hoops in Melbourne tonight. SuperCoach locks out, make sure you get your teams in. Bring on #NBL24!!
I’ll post a stack of SuperCoach stuff today - most of it free - and some NBL reading for anyone interested.",0,11,11
FlowLifer,2023-09-27T22:57:07.000Z,They def do ,0,10,10
Ball Don’t Lie,2023-09-27T23:32:21.000Z,"Are the Bucks headed to the Finals with Giannis and Dame? 
@YourManDevine
 & 
@VinceGoodwill
 discuss 

https://youtu.be/0VV1VLE4UhwAPPLE…
https://apple.co/3PUxqjT
https://spoti.fi/3EWPzag",3,8,11
Erk - OF Free,2023-09-27T23:10:22.000Z,you can go on nba store and put any name on the jersey online,0,4,14
lilspon,2023-09-27T23:00:48.000Z,Literally anyone,0,3,13
Nadav,2023-09-27T23:25:49.000Z,"nonsense. kd came for free
bucks got dame for an allstate and another player who started 70 games. 

more then that, notice you’re saying 2021 giannis it’s the start of 23-24. steph got kd the moment he lost.",0,133,133
