Username,Time,Tweet,Retweets,Likes,Interaction Count
Kel,2023-09-27T23:44:33.000Z,Dame + Giannis = Freak Time,0,1,11
Cooper Hird,2023-09-27T23:11:01.000Z,"The fact that some NBA nerds reaction to the Bucks pairing frickin Dame and Giannis is to nitpick the defense and question how valuable Dame is over Jrue frickin Holiday

Y’all this is potentially tail end of his prime Dame Lilliard with prime Giannis Antetokounmpo, bask in that",0,3,13
.,2023-09-27T22:36:16.000Z,W thread,0,4,14
T3,2023-09-27T22:45:52.000Z,"S/o to them boys tho, it’s gone be hell guarding a Dame/Giannis p&r lmaooo",0,1,11
Emmanuel Acho,2023-09-27T22:22:29.000Z,"Here’s what Dame Lillard teaming up with Giannis means:

• Giannis will solidify himself as a top 10 player ever.

• Dame Lillard will win his first championship.

• The 
@Bucks
 will win championships, plural.",53,231,284
Pizzy,2023-09-27T23:57:16.000Z,"Notorious Bucks haters big and small emotionally tweeting the disbelief of a unstoppable Dame and Giannis pick and roll this coming season. Sorry suns fan, heat nation, and sixers hipster podcaster ",1,8,19
Elysium (6-7),2023-09-27T22:32:58.000Z,Giannis joins Steph they would compare it to KD joining Steph Dame joins Giannis its all cool and dandy Bradley Beal joins Devin Booker and KD its all fine and dandy,0,2,12
,2023-09-27T23:19:23.000Z,Why worse?,0,4,14
Frank Villani,2023-09-27T23:35:10.000Z,"Problem is that KD, Booker & Beal all basically do the same thing. They’re scorers, who play similar positions & need the ball.. Just throwing Stars together. Dame, Giannis, Middleton are a perfect fit! 3 different type players who compliment each other very well!",0,3,13
Embiid the Dream,2023-09-27T23:42:36.000Z,The zone that Nurse invents for the Dame/Giannis high pick and roll will be studied by a generation of coaches.,0,2,12
Domo,2023-09-27T22:15:10.000Z,"Dame took 6'2 CJ McCollum and Enes Faux News Freedom to the conference finals

Now he got Giannis, Middleton & Lopez",6,35,41
500,2023-09-27T22:40:42.000Z,The duo we have seen win a ring and make a conference finals together. Dame and Giannis COULD be the best duo in the league but they have to prove it first on the floor.,2,20,22
Mark Dankenbring,2023-09-27T23:30:00.000Z,Do Dame and Giannis have the highest public approval rating of any star duo assembled? Feel like everyone loves both of these guys,0,11,11
GETCHO!,2023-09-27T22:01:24.000Z,Dame & Giannis meeting at Fiserv Forum,0,1,11
BigArtSports,2023-09-27T23:22:48.000Z,Breaking news: Damian Lillard traded to the Milwaukee Bucks Wow! #nba #dame #giannis #lakers https://twitter.com/i/broadcasts/1lDGLPvPNwYGm…,0,2,12
The Boss,2023-09-27T22:57:07.000Z,"I, predictably, am bored on the Dame, Giannis starfuckery stuff. 

The Knicks pieces--individually and collectively--will show better than most of y'all think. 

You're welcome. 

#53Wins",1,6,17
GlvzzyFrmDaV,2023-09-27T21:50:11.000Z,Facts but I think Middleton fit better with dame & Giannis,0,1,11
Nii Abeo,2023-09-27T23:18:19.000Z,"Steph dray Klay 
Kd beal dbook 
Dame Giannis Khris 
Tatum Brown Porz.

Anything else is bias, how you feel or hype",0,2,12
christopher,2023-09-27T22:52:58.000Z,"JT, DAME, GIANNIS, JB, PORZENGIS & MIDDLETON",0,1,11
rubentomas,2023-09-27T22:48:33.000Z,I’m an elementary teacher and some 5th grader ran down the hallways screaming “DAME AND GIANNIS” lmao,2,221,223
ProCy,2023-09-27T22:45:58.000Z,what makes you think every single one of these teams fanbases are less worried about the dame/giannis pair than miami not getting dame? stupid ass thought process,1,22,23
Nerd Sesh,2023-09-27T22:15:40.000Z,"Our full reaction to the Damian Lillard trade is here!

We broke down how Dame perfectly complements Giannis and makes the Bucks title favorites, how Miami blew it and what to make of Portland and Phoenix's hauls.

Check it out:
https://youtu.be/XYhvhJAnbYE",2,6,18
Uncle Ben,2023-09-27T23:26:04.000Z,"Dame: Hey Giannis, check out my new track

Giannis: Hey Dame, is your refrigerator running?",0,3,13
Zach,2023-09-27T23:13:07.000Z,"You’re just spitting facts today. 

Put Khris in the weak side corner of a Dame/Giannis pnr and make his defender choose their poison",0,11,11
Karl SMA,2023-09-27T23:26:31.000Z,"Heat fans deep in their feelings right now because they know they lost both Dame,  Giannis, and their window is closing fast. 

But, hey at least they still have future franchise player, Tyler Herro!",0,5,15
,2023-09-27T22:23:14.000Z,LMFAOOOOO DAME GIANNIS KHRIS PAT BROOK BETTER,0,7,17
Carter,2023-09-27T23:07:54.000Z,"Dame and Giannis
Book and KD
Lebron and AD
JT and JB",0,10,10
First Things First,2023-09-27T23:50:00.000Z,"What would  title mean for Dame & Giannis' legacies?

— 
@Chris_Broussard
 explores:",11,69,80
…,2023-09-27T23:13:01.000Z,"Dame & Giannis, booker & kd, lebron & ad, tabum & brown",0,2,12
Andrew Brandt,2023-09-27T22:35:18.000Z,"BRING ON DAME AND GIANNIS

DAME GIANNIS VS DARIUS DONOVAN AND EVAN!",0,2,12
First Things First,2023-09-27T23:28:35.000Z,"""With a title, Giannis moves ahead of Durant in the Top 50 players of the last 50 years. ... If Dame wins a championship, and is awesome, I think he joins the Top 35.""

— 
@getnickwright
 on what a title would mean for Giannis & Dame's legacies:",23,122,145
Josh,2023-09-27T23:37:41.000Z,"dame=curry
giannis=kd
khris mid=klay
brook=dray
Dame finally got his superteam like curcuck",0,6,16
brick hands bersin,2023-09-27T22:11:07.000Z,"@NotoriousGrey27
 best athletes in Wisconsin are Dame / Giannis / Zach Tom and who else?",2,1,13
Melo Dreamcon 2023,2023-09-27T23:32:27.000Z,"People saying dame and Giannis and they haven't even won yet shows,it's Jokic and Murray they just won the chip",0,13,13
.,2023-09-27T23:28:17.000Z,"Hell nah. They aren't even top 2 man. 

Book Kd
Dame Giannis

Only reason Murray and jokic looked at good was because of the teams that they played. Other duos are way more talented man",0,4,14
ScoPez,2023-09-27T22:22:43.000Z,They're deep in their feelings because the Butler/Bam core will never beat Dame/Giannis.,0,0,10
connor goebel,2023-09-27T23:16:25.000Z,"Yeah the perimeter defense might be off but the East is wide open and Dame and Giannis are gonna run through the East. Dame and Giannis pick and roll, I'm salivating at the thought",0,0,10
Brooklyn Netcast,2023-09-27T22:51:34.000Z,"Dame and Giannis. Compliment each other slightly better.

The real question is what duo will stay healthy.",0,38,38
bigdogburner,2023-09-27T22:33:12.000Z,Ball can move like crazy especially since Giannis and Brook are great playmaking big men. Double and triple teams will be punished. Dame/Giannis pick and rolls starting from behind the arc ,0,1,11
Tglizz,2023-09-27T23:57:10.000Z,"This trade is huge and absolutely no one saw this coming! Huge win for the Bucks, and Heat fans just toke a huge L. I don’t blame Jimmy or the Heat fans for being salty and upset lol, but this is a business and it’ll be more fun IMO to watch Dame and Giannis together!",0,13,13
Rik City Remix,2023-09-27T22:45:24.000Z,"Oh I see. To me herro + picks vs Jrue + picks is so similar, and I like dame/Giannis WAY more than dame/bam so feels very win win to me",0,1,11
Üst Akıl - Faiz Lobisi,2023-09-27T23:01:11.000Z,"Relative to other duos or superstars, yes. But in his prime, Shaq alone has bigger impact than Dame+Giannis combined",0,0,10
Jonathan Wright,2023-09-27T23:02:56.000Z,"If a trade had to happen this is honestly a fantastic outcome. Giannis is one of my favorite non-blazers, and a Dame/Giannis team up is going to be very exciting basketball. We wish you well Dame, we'll always be fans of you",0,3,13
Wynton Mohorn,2023-09-27T23:01:59.000Z,Exactly. Everybody's so quick to move the Milwaukee Bucks as favorites to make the NBA Finals now. Don't move so fast. Dame  didn't even want to play in Milwaukee. This could seriously be a sh** show. There's no guarantee that Dame & Giannis will play well together.,0,1,11
Algorithm,2023-09-27T20:38:22.000Z,Damian Lillard is getting a ring with Giannis,4,23,27
DurantMuse,2023-09-27T20:27:33.000Z,"Kevin Durant> Giannis

Devin Booker> lillard 

Beal> Middleton 

We are not worried Suns in 4",135,1100,1235
IKE Bucks Podcast,2023-09-27T21:54:30.000Z,"1. Giannis Antetokounmpo
2. Damian Lillard 
3. Khris Middleton 

The best BIG 3 in Basketball",33,301,334
rumpel,2023-09-27T21:06:29.000Z,"Giannis, Dame Lillard, Middleton against KD, Booker, Bradley Beal",12,17,29
Jamal Cristopher,2023-09-27T22:32:44.000Z,If you say you not moved by a lillard and Giannis tandem u either a liar or a hater or both,27,185,212
Martim,2023-09-27T23:11:56.000Z,"These two guys now play together.

Pick & Roll sets are going to be very, very fun...

#NBATwitter #Lillard #Giannis #Bucks",9,17,26
,2023-09-27T20:45:54.000Z,"Damian Lillard on my ball team
Ring szn otw 
Giannis a T20 player of all time after this season
Dame ring #1

LIFE IS GOOD",2,29,31
Nathan,2023-09-27T21:15:39.000Z,Damian Lillard should throw out the 1st pitch of the playoffs for the Brewers I mean Giannis is a part owner so he can make this happen,37,555,592
NBA Muse,2023-09-27T22:53:19.000Z,Who’s got that Damian Lillard or Giannis Antetokounmpo video?,2,39,41
EZIOKWU,2023-09-27T20:45:06.000Z,WISH I COULD FIND MY TWEET WHERE I PRAYED FOR LILLARD TO GO HELP GIANNIS CAUSE MIDDLETON IS TOO TIMID.,15,99,114
Corey B,2023-09-27T20:46:40.000Z,"Giannis
Tatum
Lillard
Brown
Porzingis
Middleton",0,46,46
OberSports,2023-09-27T22:58:06.000Z,"Between the Love era beginning for the Packers, Lillard joining Giannis for the Bucks, several new prospects on the horizon for the Brewers, and a new head coach for Badgers football, sure seems like a page is turning in Wisconsin sports and I’m so here for it. The future is NOW",17,123,140
Ahmed/The Ears/IG: BigBizTheGod,2023-09-27T20:58:28.000Z,No disrespect to Dame Lillard's cousin but if Portland tried to disrespect Dame by sending him to Milwaukee to be teammates with Giannis then they sure showed him.,167,1300,1467
Taytalktome.,2023-09-27T20:52:42.000Z,"LILLARD FOR 3 

GIANNIS WITH THE BLOCK 

LILLARD FOR 3 

GIANNIS WITH THE BLOCK 

LILLARD … for 3 MORE ",2,7,19
,2023-09-27T23:56:27.000Z,"Giannis worked out with Hakeem
Damian Lillard is my PG
Bud fired
Marjon year two leap coming 
Khris had a full offseason of rest 

We coming for #2",55,746,801
B. Miller,2023-09-27T21:38:34.000Z,They need to make a little video of Lillard and Giannis working at Shotz Brewery and putting a glove on a bottle.,2,13,15
Matt Slone,2023-09-27T22:28:58.000Z,"With the acquisition of Damian Lillard and Giannis Antetokounmpo becoming extension-eligible last week, I wouldn’t be surprised if Giannis signs a huge long-term extension with Milwaukee. It seems they are looking to build and maintain a championship roster around him.",1,2,13
Maxence,2023-09-27T21:48:19.000Z,LEAGUE IS SHAKING,0,4,14
João,2023-09-27T22:19:44.000Z,Lillard & Giannis = ,0,1,11
³⁴,2023-09-27T21:55:17.000Z,Agreed,0,7,17
BangerOfTheDay (Music Curator),2023-09-27T21:25:01.000Z,Me when I find out Damian Lillard & Giannis are finally on the same team,1,4,15
Sportspsp,2023-09-27T22:00:49.000Z,"My thoughts on 
@Dame_Lillard
 traded to the 
@Bucks
 in a 3 team deal. #DameTime #Dame #Lillard #Giannis #sports #Trending #SportsNews #NBAPlayoffs #nba #BucksCounty #Bucks #jrue #basketball #YouTube #PodcastAndChill #TikTok #NBATwitter #INSTAGRAM #socialmedia #MilwaukeeBucks #OMG",3,4,17
³⁴,2023-09-27T21:57:00.000Z,"Thank you and good luck to you too

Hope we meet in the finals my guy",0,9,19
Orlando,2023-09-27T22:32:29.000Z,"Damian Lillard and Giannis.
Interesting.",0,3,13
NBA Fantasy Bible,2023-09-27T21:56:26.000Z,"Fantasy Impact

BUCKS
Damian Lillard & Giannis slight 
Khris Middleton  

BLAZERS
Deandre Ayton 

Assuming Jrue is moved again & a   doesn’t return:

Scoot Henderson ",1,18,19
Jewel in RipCity,2023-09-27T20:44:03.000Z,"So sad  for me as a 
@trailblazers
 fan, but so excited  for me as a 
@Dame_Lillard
 and 
@Giannis_An34
 fan! Much love  and respect  to you DAME! Go get that ring! I’ll be rooting for you always! 
#RipCity #FearTheDeer 
#DameTime",1,10,11
KhrisNation,2023-09-27T21:09:51.000Z,"Damian Lillard + Giannis = 2024 NBA Champions
That’s not a prediction. That’s a spoiler",0,2,12
Folol,2023-09-27T21:35:43.000Z,Lillard-Giannis ,0,1,11
,2023-09-27T21:02:27.000Z,Lakers in 7,0,5,15
Terrell Williams,2023-09-27T21:35:46.000Z,"Wowoj.  Milwaukee pairing Lillard with Giannis is an elite chess move. Shows Giannis they’re serious about continuing to contend for titles, and makes it hard for Lillard to want to force his way out. 

If Milwaukee can keep Lillard happy, they just became the team to beat.",1,5,16
PJ,2023-09-27T22:13:46.000Z,"1. LeBron James and Anthony Davis
2. Damian Lillard and Giannis Antetokounmpo 
3. Jamal Murray and Nikola Jokic
4. Devin Booker and Kevin Durant",1,5,16
Lisa Pease,2023-09-27T22:13:25.000Z,"Giannis picked Lillard first in the All-Star Game, right?",0,48,48
Tyler,2023-09-27T22:55:17.000Z,"Let’s gooooo way better than to the heat, honorary bucks fan this season",0,1,11
NBA Buzz,2023-09-27T20:57:49.000Z,TRUE or FALSE: Damian Lillard & Giannis Antetokounmpo are now the NBA’s best duo ,1,8,19
Z. Rich ®,2023-09-27T21:30:13.000Z,Lillard & Giannis is crazy ,0,1,11
Juveron,2023-09-27T22:35:36.000Z,Lillard giannis and middleton chhhhhhh,0,1,11
Bucks Nation,2023-09-27T21:09:21.000Z,"The Milwaukee Bucks now owe Damian Lillard and Giannis Antetokounmpo a lot of money over the next few years

https://clutchpoints.com/bucks-damian-lillard-giannis-antetokounmpo-contracts-trade…",0,3,13
Professional Jazz Fan,2023-09-27T20:25:26.000Z,"""Kyrie > Lillard"" "" KD > Giannis"" this is why hoops grid is better",0,29,29
Jotaro Kujo,2023-09-27T22:56:03.000Z,"I do like Dame to the Bucks. You don’t turn down a Lillard/Giannis duo if given the chance, but, remember who came up with all the last second game winning plays back in the 2021 NBA finals. They will miss Jrue Holiday.",0,1,11
𝓓𝓑 ☆,2023-09-27T21:47:01.000Z,Dame & Giannis together? O yeah it’s lookin scary,0,8,18
Matt Smith,2023-09-27T21:44:35.000Z,I still think Lillard & Giannis are late first round players.,0,19,19
Thee_Unknown420,2023-09-27T23:47:46.000Z,W thread,0,2,12
Gimme The Hot Sauce Podcast,2023-09-27T23:04:07.000Z,"Will the Damian Lillard trade keep Giannis Antetokounmpo in Milwaukee ?  

CLICK HERE TO SEE FULL CLIP :
https://youtube.com/watch?v=qOlj6muN5Y4&t=2940s…

FOLLOW US FOR MORE : https://linktr.ee/gimmethehotsauce21…",1,5,16
Dior ♱,2023-09-27T21:40:18.000Z,fb bra,0,1,11
vince,2023-09-27T20:12:50.000Z,Heat lost core role players. You gonna be back in the finals vs Lillard/Middleton/Giannis? No shot.,0,15,15
CULTURE CHECK (™) with Bruno Starzz,2023-09-27T21:44:13.000Z,"Everyone was furrowing their brows about the 3 first round picks they sent to New Orleans at the time, but that Jrue Holiday trade in 2019 ended up being a home run for Milwaukee. Their second franchise title and an additional parlay into Damian Lillard to match Giannis’ prime",0,8,18
Dullah,2023-09-27T23:23:33.000Z,Can Damian Lillard and Giannis Win A Ring Together? https://youtu.be/cj12Y3cNwHI,1,5,16
KrispyFlakes,2023-09-27T21:08:36.000Z,Seeing Lillard and Giannis 4 times a year as a Piston fan ,1,38,39
Ball Room Service,2023-09-27T22:33:52.000Z,Kevin Durant on Both Damian Lillard and Giannis acting tough and fake for years  like they didn’t need a superstar team to win ,1,8,19
³⁴,2023-09-27T21:59:35.000Z,"No idea how y’all stop giannis ngl I mean, do you triple him cause thats the only way to just slow him down?? But then you got dame as well and Khris who doesn’t need much of the ball to make stuff happen

Or do you just put nurk on him and pray or what ",0,5,15
Brick,2023-09-27T21:25:55.000Z,That sentence is wild man can’t believe it’s real,0,1,11
JV,2023-09-27T21:54:56.000Z,They’re the team to beat,0,7,17
WVIDTREY35,2023-09-27T21:57:27.000Z,all jokes aside we need that rematch!!!,0,1,11
WVIDTREY35,2023-09-27T22:00:22.000Z,who dealing with kd and book and a huge threat in beal???,0,1,11
ᴛʏ  (11-0),2023-09-27T20:45:26.000Z,Lillard when Giannis dunks the ball 40 times and has 85 points while lillard sits in the corner all game,0,1,11
HasanDadouch7#TeamGriezi,2023-09-27T23:33:34.000Z,What NBA word have I come back to lmao,0,1,11
Brick,2023-09-27T21:26:41.000Z,Imo losing to the lakers in a finals game 7 is the best worst way to go out. Does that make sense?,0,1,11
Larry Brown Sports,2023-09-27T22:40:35.000Z,Fans already have great nickname for Damian Lillard-Giannis Antetokounmpo tandem,0,0,10
Ball Room Service,2023-09-27T22:26:49.000Z,Damian Lillard and Giannis are Frauds criticizing people for building superteam and then doing the same,0,5,15
,2023-09-27T21:03:43.000Z,they will fear us.,0,2,12
Johnny Boy,2023-09-27T20:21:29.000Z,"vms comparar as duplas
Lillard >Brown
Giannis > Tatum
cabou kkkkkkk",0,16,16
ESPN Stats & Info,2023-09-27T20:22:31.000Z,"According to 
@EliasSports
:

Lillard and Giannis will become the 2nd teammates in NBA history to play together after each tallying 30 PPG in the prior season.

The other duo was Jerry West and Elgin Baylor, who each averaged 30 on the 1961-62 Lakers and ran it back in 1962-63.",59,234,293
Tidal League,2023-09-27T23:33:43.000Z,"Are the Milwaukee Bucks “America’s Team” now? 

Damian Lillard, Giannis Antetokounmpo and Khris Middleton…",0,0,10
John,2023-09-27T21:36:13.000Z,Spoelstra would've deployed him more effectively but Giannis has way more in the tank than Butler at this point and Miami still isn't beating the Nuggets even with Lillard. Giannis + Lillard probably aren't beating them either but it's better odds.,0,0,10
TMJ4 News,2023-09-27T22:00:00.000Z,"While fans are celebrating the prospect of Damien Lillard playing alongside Giannis Antetokounmpo, there are more than a dozen local community groups who will miss Jrue Holiday’s charitable work in the City of Milwaukee.",16,152,168
DraftKings Network,2023-09-27T21:45:00.000Z,"Can Damian Lillard and Giannis Antetokounmpo co-exist on the Bucks?
@ByJeffPratt
 saw potential for future issues in today's 
@DKSportsbook
 Space reacting to Wednesday's blockbuster ",7,12,19
Jawad جواد,2023-09-27T22:44:12.000Z,"Really,  the slander. Guess 3/4 Finals appearance without Lillard, Giannis, X star means nothing. Certain teams can't get to playoffs, get out of 1st round, or are raising banners for 2nd round exits.  
These casuals are shook. Like the Heat says, the ""For Competitors Only"".",0,1,11
Hoops on 𝕏,2023-09-27T21:47:57.000Z,"While Lillard (109 DRtg) and Giannis (108 DRtg) aren't lockdown individually, their combined size, length, and iq should wreak havoc. 

Giannis swatted 1.4 shots per game last season. With Lillard applying ball pressure, that dangerous paint protection is only elevated.",1,5,16
D. Lind,2023-09-27T22:25:54.000Z,"I’ve always dreamed of a Lillard/Giannis duo and can’t believe it’s actually happening!!!  With that being said, losing Jrue is sad and it cannot be understated with everything he’s done for Milwaukee including helping win that title!!!  Wish him the best also",0,5,15
SiriusXM NBA Radio,2023-09-27T21:52:25.000Z,"“They’re getting a guy that can dominate a game when Giannis doesn’t have it going”

 
@JumpShot8
 is very excited about the Lillard-Giannis duo #FearTheDeer",2,12,14
Nets Fan,2023-09-27T21:47:42.000Z,NBA CENTRAL CANT TWEET ABOUT DAME ANYMORE,4,61,65
ClutchPoints,2023-09-27T19:11:47.000Z,"There is no loyalty in the NBA anymore. But there is Damian Lillard...

11 seasons.
769 games.
27,942 minutes.
2,387 threes.
19,376 points.
1 All-Star teammate.
0 MVP teammates.
0 6MOY teammates.
0 DPOY teammates.
0 complaints.

1 team.",3600,40000,43600
Overtime,2023-09-27T19:09:08.000Z,"Giannis always been a Dame fan  (via 
@NBA
)",109,749,858
Legion Hoops,2023-09-27T18:47:26.000Z,"Jimmy Butler reacts to Dame being traded to the Bucks:

“The NBA, man… y’all need to look into the Bucks for tampering. You didn’t hear it from me, but I heard it from somebody.” ",1500,4800,6300
Anthony Mayes,2023-09-27T19:28:09.000Z,NBA Twitter now that Dame has finally been traded,11,71,82
Hoopers Media,2023-09-27T19:21:50.000Z,"Jimmy speaks on the Dame trade:

“Yo NBA man, y’all need to look into the Bucks for tampering.” 

Is he trolling or being for real? ",3,4,17
NBA TV,2023-09-27T21:19:28.000Z,"It's Dame Time in MKE 

We're LIVE now on NBA TV!",89,483,572
Scary Alvarez,2023-09-27T20:08:08.000Z,"It's okay to be super pumped about Dame to the Bucks and also be sorry to see Jrue leave

No Jrue = No 2021 NBA title for Milwaukee and he's also a great dude",55,923,978
Jeremy Marks-Peltz,2023-09-27T21:44:08.000Z,"Congratulations to the Portland Trailblazers, the city of Portland, and the Portland media for winning your 2023-24 NBA championship: Not trading Dame to the #HEAT. You did it! Hang the banner!",152,1200,1352
Lil B THE BASEDGOD,2023-09-27T19:56:43.000Z,Congrats to the NBA BUCKS FOR THE DAME TRADE ALL TEAMS WIN BUCKS ARE STACKED!!! GO WARRIORS ! #NBA - Lil B,21,106,127
MaMgobhozi,2023-09-27T22:30:17.000Z,"Jimmy Butler weighs in on the Damian Lillard trade.

Dame | Lakers | NBA | Harden |
#HOBBES",0,1,11
𝐁𝐨𝐛𝐛𝐲𝐬𝐖𝐨𝐫𝐥𝐝,2023-09-27T20:03:06.000Z,Media had to go from trying to shove Giannis out of Milwaukee to having to talk about Giannis and Dame being the best duo in the NBA within 24 hours. Gotta love it ,47,616,663
Hassan Ahmad,2023-09-27T20:16:29.000Z,".
@Dame_Lillard
 is headed to the 
@Bucks
 

#smsports #NBA #NBATwitter #FearTheDeer",5,52,57
shannon sharpe,2023-09-27T18:46:39.000Z,"Raise your hand IF* you called 
@Dame_Lillard
 2 Bucks? #NBA #Bucks #Blazers",379,4300,4679
The Lyons Den Media Group,2023-09-27T20:02:20.000Z,"Dame Time in Milwaukee: Damian Lillard trade breakdown by Sports Editor 
@WJL1691
 

https://medium.com/the-lyons-den/breaking-superstar-damian-lillard-traded-to-the-milwaukee-bucks-b5df6a2a662b…

#NBA #Sports #MilwaukeeBucks #PortlandTrailBlazers #PhoenixSuns #NBATwitter",7,7,14
Topher Léon,2023-09-27T20:50:01.000Z,damian lillard to the bucks  #NBA #dame,0,4,14
Bri Marie D,2023-09-27T19:46:23.000Z,This didn’t age well Lmfao  #ET #Giannis #Dame #Bucks #NBA,0,12,12
X-Bomb Sports,2023-09-27T19:22:26.000Z,"We are now live with 
@BlowTWhistle1
 with 
@TheFluffyGuru
 & 
@DavidDykstra4
 wirh breaking news! #dame
#NBA",1,4,15
Bobby Lin,2023-09-27T21:20:16.000Z,The 3 stages of being a Heat fan #MiamiHeat #Heat #Dame #NBA,0,6,16
NBA University,2023-09-27T19:55:22.000Z,"75 players used at least 2 isolation possessions per game in ‘22-‘23

Dame was the 2nd most efficient at 1.13 points per possession on 5.0 IOSs per game

Jrue was 72nd out of 75 at 0.76 ppp on 3.2 per game

Massive offensive shift, especially in a playoff setting…",102,709,811
I Am Hip Hop,2023-09-27T19:23:15.000Z,As a knicks fan i would of threw up if Dame went to Miami thanks nba gods,4,11,15
Letting Go,2023-09-27T23:47:44.000Z,"Dame was making unsolicited “I’m a martyr that doesnt run from the grind/ring chase, unlike these other NBA Stars” for years & years, even after he signed an extension that he never planned to stick to…then put out a single after forcing his way out… & almost everyone is…",147,631,778
Mateo,2023-09-27T22:12:54.000Z,This Dame trade man… #Dame #nba,0,0,10
Bri Marie D,2023-09-27T19:52:49.000Z,I’m just happy Dame didn’t go to Miami tbh #NBA,3,34,37
Spliff,2023-09-27T21:52:31.000Z,"So Dame gets traded to Milwaukee for a bag of chips and the NBA talking heads are celebrating.

When he said he wanted to go to Miami they were complaining. 

No pressure.",4,24,28
Coach Dre,2023-09-27T19:58:11.000Z,Dame & Giannis in NBA JAM would be tooouuugghhh  lol,1,3,14
Jamar Chase ( I’M NOT HIM ) HTTC,2023-09-27T19:45:07.000Z,Can’t wait for the NBA season to start  #dame #nba #FearTheDeer #gogomusic,0,1,11
kevin,2023-09-27T23:08:06.000Z,Dame winning the 2023 NBA 3pt contest,0,13,13
thankful Jerry Beer,2023-09-27T22:55:54.000Z,">picked up Achane off waivers this morning
>found out I got first pick in nba fantasy
>DAME TO MILWAUKEE
I USED TO PRAY FOR TIMES LIKE THESE",0,8,18
JP - The Wholesome Truth Teller,2023-09-27T21:42:51.000Z,Replace Jrue Holiday with Dame Lillard and the 2021 Phoenix Suns are NBA World Champions,8,21,29
Funko POP Hunters,2023-09-27T20:13:22.000Z," New POP! 2 pack incoming?
@Fanatics
 probably already on it 

#Funko #Bucks #Milwaukeebucks #DamianLillard #dame #popvinyl #nba #Giannis #funkopophunters",4,19,23
Mxxn Rxckz Aka The Bitch Whisperer,2023-09-27T21:35:33.000Z,Nice way to make me not root for Dame NBA,0,0,10
iso,2023-09-27T22:04:55.000Z,dame the only player in nba history to get traded then drop a new song instead of tweeting a goodbye like a normal player,2,26,28
ㅤ,2023-09-27T19:34:38.000Z,Niggas went from Beal to Dame to the worse playoff dropper in the NBA ,6,45,51
𝖇𝖔𝖓𝖊𝖘,2023-09-27T19:19:19.000Z,"Blazers trade Dame and basically got Deandre Ayton and 2FRP 

When miami literally had a better offer, Tyler Herro (player) and 3 FRP

Joe Cronin got mad that only Miami was offering and for cheap but decided to settle for even less… this league is corrupt and NBA genuinely need…",8,92,100
respected elder of the al-Qassam diaspora,2023-09-27T19:56:09.000Z,"the thought of dame winding up in the nba version of franco’s spain was repulsive so this is nice. 

love this for him and giannis",3,11,14
AJ Salah,2023-09-27T20:07:59.000Z,"Dame Lillard is now a Buck

And the Bucks are now NBA title favorites

My latest for 
@Covers
:",3,7,10
Mozzie Reddington,2023-09-27T18:51:03.000Z,Giannis is getting Dame. The NBA isn't ready for what the bucks will unleash this season.,1,2,13
James,2023-09-27T18:59:23.000Z,Bucks get Dame.#NBA,0,1,11
The Gina V,2023-09-27T18:55:51.000Z,"Active players with the longest tenure with one team in the NBA: Stephen Curry, Klay Thompson, and Draymond Green. #DubNation 

No more Dame in the Top 3.",7,37,44
Brewers Offseason Mode,2023-09-27T20:09:31.000Z,"New shirt in the shop. Get it as a sticker, mug or long sleeves too! Link in comments.
#bucks #dame #nba #DamianLillard #giannis #dametime #Milwaukee",1,9,10
phil,2023-09-27T19:43:07.000Z,Ja v Dame NBA finals gonna be crazy. Argue with your momma,0,0,10
Oz,2023-09-27T19:18:08.000Z,"-Dame signed and extension last summer 
-Dame wanted to be traded (to Miami)
-Portland, took the better offer and traded Dame to play with a a two-time MVP and NBA Champion on a team that's now the East Favorite. 

How is that dirty work? They did right by Dame and for themselves",4,35,39
Yuriy Andriyashchuk,2023-09-27T18:44:26.000Z,"Giannis was able to get Dame in Milwaukee after crying about threatening to leave, just two years after winning a championship smh. Unreal.#NBA",4,12,16
John Ewing,2023-09-27T18:43:02.000Z,".
@MiamiHEAT
 odds to win NBA Championship at 
@BetMGM
 

+1000: Before Dame trade

+3000: After",5,40,45
Anthony Jorden,2023-09-27T21:01:59.000Z,"I heard  via grapevine 
@MiamiHEAT
 #culture is the best 
@Jumpshot8
 @SiriusXMNBA
 @nba
 @Dame_Lillard
 #NBA #Today 
@Bucks
 ",0,0,10
John Jacob Jingleheimer Schimdt,2023-09-27T23:54:16.000Z,East Coast Dame. NBA FANS WON!,0,0,10
Jon Kasper,2023-09-27T20:20:39.000Z,"My favorite NBA player 
@Dame_Lillard
 playing in the same city as the 
@Brewers
?",0,12,12
Juancho,2023-09-27T19:41:57.000Z,Milwaukees been needing a DOG like Dame!! #NBA #Bucks,0,0,10
THEHIPHOPCONSULTANT,2023-09-27T19:25:22.000Z,"Sources: Blazers Trading Damian Lillard to Bucks in 3-Team Deal
@Dame_Lillard
 #nba",0,1,11
Geddy D,2023-09-27T20:48:57.000Z,"I am still tied with Dame for NBA finals minutes, for now.",0,0,10
D.Schnaq,2023-09-27T19:23:57.000Z,"Dame time is officially over in Portland, we should have kept C.J and traded Dame years ago. #Dame #DamianLillard #NBA #NBATwitter",0,2,12
And1,2023-09-27T21:03:15.000Z,"The 
@bucks
 really hit rock bottom with this trade 
#Milwaukee #giannis #dame #nba #blazers #jrue",0,0,10
