Username,Time,Tweet,Retweets,Likes
𝖇𝖔𝖓𝖊𝖘,2023-09-27T19:19:19.000Z,"Blazers trade Dame and basically got Deandre Ayton and 2FRP 

When miami literally had a better offer, Tyler Herro (player) and 3 FRP

Joe Cronin got mad that only Miami was offering and for cheap but decided to settle for even less… this league is corrupt and NBA genuinely need…",8,92
A Black Man,2023-09-27T21:05:00.000Z,the Dame trade news made me realize the NBA season starts in less than a month & suddenly I feel alive again,2,8
respected elder of the al-Qassam diaspora,2023-09-27T19:56:09.000Z,"the thought of dame winding up in the nba version of franco’s spain was repulsive so this is nice. 

love this for him and giannis",3,11
AJ Salah,2023-09-27T20:07:59.000Z,"Dame Lillard is now a Buck

And the Bucks are now NBA title favorites

My latest for 
@Covers
:",3,7
Mozzie Reddington,2023-09-27T18:51:03.000Z,Giannis is getting Dame. The NBA isn't ready for what the bucks will unleash this season.,1,2
James,2023-09-27T18:59:23.000Z,Bucks get Dame.#NBA,0,1
The Gina V,2023-09-27T18:55:51.000Z,"Active players with the longest tenure with one team in the NBA: Stephen Curry, Klay Thompson, and Draymond Green. #DubNation 

No more Dame in the Top 3.",7,37
Brewers Offseason Mode,2023-09-27T20:09:31.000Z,"New shirt in the shop. Get it as a sticker, mug or long sleeves too! Link in comments.
#bucks #dame #nba #DamianLillard #giannis #dametime #Milwaukee",1,9
phil,2023-09-27T19:43:07.000Z,Ja v Dame NBA finals gonna be crazy. Argue with your momma,0,0
Oz,2023-09-27T19:18:08.000Z,"-Dame signed and extension last summer 
-Dame wanted to be traded (to Miami)
-Portland, took the better offer and traded Dame to play with a a two-time MVP and NBA Champion on a team that's now the East Favorite. 

How is that dirty work? They did right by Dame and for themselves",4,35
Yuriy Andriyashchuk,2023-09-27T18:44:26.000Z,"Giannis was able to get Dame in Milwaukee after crying about threatening to leave, just two years after winning a championship smh. Unreal.#NBA",4,12
John Ewing,2023-09-27T18:43:02.000Z,".
@MiamiHEAT
 odds to win NBA Championship at 
@BetMGM
 

+1000: Before Dame trade

+3000: After",5,40
Abby the Sports Artist,2023-09-27T23:30:22.000Z,"Will I be painting a 
@Bucks
 themed Dame painting? Absolutely yes. He was the first player to inspire me to play bball in middle school, and the first athlete I ever painted. So you see, my art career wouldn’t be where it is now if it hadn’t been for his NBA career God is good!",7,99
Anthony Jorden,2023-09-27T21:01:59.000Z,"I heard  via grapevine 
@MiamiHEAT
 #culture is the best 
@Jumpshot8
 @SiriusXMNBA
 @nba
 @Dame_Lillard
 #NBA #Today 
@Bucks
 ",0,0
John Jacob Jingleheimer Schimdt,2023-09-27T23:54:16.000Z,East Coast Dame. NBA FANS WON!,0,0
Jon Kasper,2023-09-27T20:20:39.000Z,"My favorite NBA player 
@Dame_Lillard
 playing in the same city as the 
@Brewers
?",0,12
Juancho,2023-09-27T19:41:57.000Z,Milwaukees been needing a DOG like Dame!! #NBA #Bucks,0,0
THEHIPHOPCONSULTANT,2023-09-27T19:25:22.000Z,"Sources: Blazers Trading Damian Lillard to Bucks in 3-Team Deal
@Dame_Lillard
 #nba",0,1
Geddy D,2023-09-27T20:48:57.000Z,"I am still tied with Dame for NBA finals minutes, for now.",0,0
D.Schnaq,2023-09-27T19:23:57.000Z,"Dame time is officially over in Portland, we should have kept C.J and traded Dame years ago. #Dame #DamianLillard #NBA #NBATwitter",0,2
And1,2023-09-27T21:03:15.000Z,"The 
@bucks
 really hit rock bottom with this trade 
#Milwaukee #giannis #dame #nba #blazers #jrue",0,0
klay,2023-09-27T22:22:53.000Z,basically trade Jrue for Dame NBA makes no sense bruh,0,0
Fred Smith,2023-09-27T22:08:02.000Z,I think Miami Heat fans colluded to keep Dame out of Miami by being delusional blowhards certain they were owed an NBA player under contract if they were weird about it online for long enough,2,13
Theo Ash,2023-09-27T20:06:39.000Z,Jimmy Butler telling the NBA the Bucks tampered mere seconds after learning he’s getting Dame,2,287
The God Tony Cash,2023-09-27T21:36:26.000Z,"It is going to succ to watch the 
@MiamiHEAT
 regress so much this season after not doing everything they could to get Dame. #NBA",0,0
Scary Alvarez,2023-09-27T23:01:31.000Z,Me running to bet on Milwaukee as 2024 NBA champion after hearing about the Dame Lillard deal,0,27
Mike,2023-09-27T23:35:05.000Z,remember when the bucks loud crowd got written warnings from the NBA about calling Dame a sound cloud rapper?!?!?!?,2,10
Kas,2023-09-27T19:36:45.000Z,DAME & GIANNIS?!?! Nba u gotta b kidding me and then they let them Keep Middleton too after all this? HOW SWAY,0,2
