Username,Time,Tweet,Retweets,Likes
SalarySwish,2023-09-27T18:42:07.000Z,"TRADE (details per 
@wojespn
)

To Milwaukee #Bucks
Damian Lillard

To Portland #TrailBlazers
Jrue Holiday
Deandre Ayton
Toumani Camara
2029 1st RD pick (MIL)
2028 & 2030 (swap options)

To Phoenix ",23,129
New York Post,2023-09-27T18:33:02.000Z,Blazers trade Damian Lillard to Bucks in shocking NBA blockbuster https://trib.al/OUJ6S4f,8,25
JWills,2023-09-27T19:18:00.000Z,The Bucks didn’t get any older with the Damian Lillard trade. He is the same age as Jrue Holiday.,7,631
Matt Slone,2023-09-27T18:30:29.000Z,"Damian Lillard has officially been traded to the Milwaukee Bucks.

Full Trade:

Bucks receive: 
Damian Lillard 

Blazers receive:
Jrue Holiday
Deandre Ayton
Toumani Camara
2029 1st round pick
2 pick swaps. 

Suns receive:
Jusuf Nurkic
Grayson Allen
Nassir Little
Keon Johnson",0,1
toad,2023-09-27T18:35:13.000Z,"The Milwaukee Bucks’ odds to win the 2023-24 NBA Finals…

Before The Trade: +650
After The Trade: +400

Will Damian Lillard, Giannis Antetokounmpo, and the Bucks win it all this year?",8,23
Awful Announcing,2023-09-27T20:36:17.000Z,Dan Le Batard: Damian Lillard trade to Bucks marks end of player empowerment era http://ow.ly/ZPUW104VRIh,14,24
SportsCastProductions,2023-09-27T20:12:23.000Z,"Breaking News:

Portland #TrailBlazers PG Damian Lillard has been traded to the Milwaukee Bucks!!

Whole Trade Details:

#Bucks Get: Damian Lillard

#Trailblazers Get: Jrue Holliday, DeAndre Ayton, Toumani Camara, 1 First Round Pick, 1 Pick-Swap",1,2
Chris W. Crouse,2023-09-27T20:03:42.000Z,"#NBA Real Championship Contender Rankings 

(post Damian Lillard trade):

1) Bucks
2) Suns
3) Nuggets 
4) Warriors
5) Clippers
6) Heat
7) Mavericks
8) Wolves
9) Lakers
10) Celtics",7,30
Sports Illustrated,2023-09-27T22:45:05.000Z,".
@JimmyButler
 reacted to the Bucks’ Damian Lillard trade with a joke about tampering  https://trib.al/JICJoIj",8,17
Mr.W,2023-09-27T18:29:58.000Z,"SORPRESOTA EN LA #NBA 

Tenemos el trade que lleva a Lillard a los Bucks, un trade de 3 equipos

Bucks - Damian Lillard
Blazers - Jrue Holiday, Deandre Ayton, Toumani Camara, 2029 1st-round pick
Suns - Jusuf Nurkic, Grayson Allen, Nassir Little, Keon Johnson",1,3
ClutchPoints Betting,2023-09-27T18:35:55.000Z,"With Damian Lillard going to the Milwaukee Bucks in that MONSTER trade, the Bucks now have: 

- Two top 10 MVP candidates , Giannis (+430, #1) and Dame (+2300, 10th)

- The best odds to win the Eastern Conference: +145

- The best odds to win the NBA Finals: +360",13,62
No Interruptions,2023-09-27T19:00:28.000Z,"BREAKING NEWS

Damian Lillard is heading to the Milwaukee Bucks in a three team trade

#Bucks: Damian Lillard
#Suns: Jusuf Nurkic
#TrailBlazers: 
2029 First Round Pick from the Bucks
2028 and 2030 First Round Pick Swaps
Jrue Holiday
Deandre Ayton",0,3
