Username,Time,Tweet,Retweets,Likes
Greg Ehrenberg,2023-09-27T20:37:55.000Z,Updated odds to win the East now that the dust is settled from the Dame trade. Who’s overvalued and who’s undervalued?,3,3
Sam,2023-09-27T20:41:32.000Z,"Wanna know something crazy about the Bucks? Even after acquiring Dame, they still have the ability to trade two first round picks next summer if they chose to.",4,51
Steven Reinert,2023-09-27T22:25:29.000Z,S/O to the Dame trade for cleansing my timeline of Taylor Swift tho. Holy fuck was that shit annoying.,4,45
Billy,2023-09-27T20:49:23.000Z,"Dame trade: My take is that it is absolutely hilarious that Dame wanted to live in Miami and now has to live in Wisconsin, that Milwaukee prides their success on defense and size which they just lost in a major way, that Miami is the ultimate loser, and the C’s are a finals lock",0,2
Niko,2023-09-27T22:05:06.000Z,2k too slow with the updates I’m bout to make the Dame trade myself and update the rosters,2,8
SI,2023-09-27T22:02:54.000Z,The Nuggets can't be slept on despite the Dame Lillard trade. DEN still has a well-balanced team and Jamal Murray in the playoffs has been as good Dame. Giannis vs Jokic would be the difference in that series.,1,15
Shane,2023-09-27T21:29:26.000Z,You sending this hours before the Dame trade,0,4
GoldenKnight,2023-09-27T23:54:15.000Z,Dame requested a trade & then wrote a Hit Em Up type song for the Blazers when they finally traded him #ThisLeague,4,33
Joe Viray,2023-09-27T23:41:41.000Z,Portland not only refusing to trade Dame to the Heat but also trading him to one of the Heat’s fiercest conference rivals is extremely funny to me man lmao. Generational hating.,14,180
Mia,2023-09-27T21:31:08.000Z,"one thing i am learning from this Dame trade is that i thought i was kinda low on Deandre Ayton but apparently i’m way higher on him than everyone else? i was under the impression he was like a decent, not-really-young-anymore-but-not-quite-old big, not just out and out garbage",2,6
Scotty,2023-09-27T22:57:12.000Z,"Hey I’m an upcoming sports journalist, if you guys have time check out my video on the Dame trade and any ideas or ways I could get better I would greatly appreciate it

Dame To The Bucks!",20,31
tom tremewan,2023-09-27T21:31:00.000Z,"of all the sources breaking the news about the dame trade, I would have never imagined that the TuneIn Radio app would be how I learned about it",0,3
Truth,2023-09-27T21:54:32.000Z,new dame trade video up now! published before HD was ready so 1080p will be live in an hour... Show some love and check it out + drop a like,2,3
Andrew Claudio,2023-09-27T22:00:36.000Z,"Last week w/ 
@danfavale
 on 
@HardwoodKnocks
, we discussed the Dame trade saga… 

: https://youtu.be/VfD7oYZSA8c?si=9fp2roa-kEru7phs…",3,5
17,2023-09-27T21:58:34.000Z,"Ayton 
Young wing 
3 frps
Pick swap

Would be a solid return i cant lie

I’d much rather have Ayton over pretty much any player that was thrown in Dame trade scenarios 

Hopefully Cronin somehow clutches a good return from Jrue man",0,2
Gifted,2023-09-27T21:09:26.000Z,"Hearing people say the Suns are deep, having a bunch of players on a roster that aren’t proven heavy minute rotation guys in the playoffs does NOT = depth to me. Grayson Allen as a spacer is a good fit tho

We’ll see what happens tho, the Dame trade DEFINITELY shakes up the East",5,11
Aaron J. Fentress,2023-09-27T23:33:43.000Z,"The Blazers essentially traded Damian Lillard to the Bucks for Jrue Holiday, Grayson Allen, a first-round pick and two swaps. 

That’s all the Bucks gave up. 

Then Portland traded Nurkic, Little, Keon and Allen for Ayton and Camara.  

The value in the Dame trade depends on what…",25,117
Hardwood Knocks,2023-09-27T21:46:28.000Z,"EMERGENCY POD

 Damian Lillard Trade Reaction

—Dame, Bucks, Giannis, etc. (4:19)
—Heat (15:19)
—Raptors (21:38)
—Suns (25:49)
—Blazers, Jrue Holiday, more (33:52)",6,7
Mac Morey,2023-09-27T21:25:31.000Z,"WOW. Still shocked by that Dame trade. Landscape of the NBA completely altered today. Emergency pod with 
@TheRonSlay
 coming tomorrow! Tune in! #btb #hesinthebuilding",1,9
jake with the hair,2023-09-27T21:19:42.000Z,Big personal win in the Dame trade is Grayson Allen getting the fuck out of Milwaukee which allows me to like the Bucks unconditionally.,0,5
TJ,2023-09-27T22:05:36.000Z,Was he part of the Dame trade?,2,43
Drew Johnson,2023-09-27T21:33:43.000Z,"I like the Dame trade to the Bucks. Playmaker, shooting, and Giannis! 

…… But I have a 6 year old who thinks this is the greatest move in sports history  His 2 favorite players on the same team!",1,14
Cortez P,2023-09-27T20:52:23.000Z,Guess these were some of the assets for the Dame trade ,0,4
