Username,Time,Tweet,Retweets,Likes
RexUTD,2023-09-27T20:43:02.000Z,"Dame X Giannis? 
Bucks cooking
Warriors.. I'm scared",0,2
,2023-09-27T22:52:36.000Z,"Meanwhile Bucks signed Dame and Giannis in the gym with Hakeem

76ers will never see success LMAO",4,103
Joe,2023-09-27T19:19:15.000Z,"Gave my thoughts on the Lillard trade... check it out!

https://youtu.be/SLIu-UJdSfU
https://youtu.be/SLIu-UJdSfU
https://youtu.be/SLIu-UJdSfU

#NBA #Dame #DamianLillard #Giannis #Bucks #Blazers #Suns",0,0
bushbee_,2023-09-27T22:18:43.000Z,"Did anyone see this Dame to Bucks trade happening? Like, was there talk of it? All the talk was Dame to everywhere else and Giannis is leaving the Bucks. I’m actually super surprised about this!
Also - let’s get Jrue",0,7
Bucks Film Room,2023-09-27T20:56:26.000Z,"Bucks playoff rotation is what matters most. They’ll need 16 wins from:
Dame
Giannis
Middleton
Brook
Portis
Connaughton
Crowder
Beasley?

They need at least one more wing/ball handler before April.",5,202
,2023-09-27T19:32:42.000Z,"Giannis, Embiid, “KD” are not better than Steph LMAOO",0,38
.,2023-09-27T22:36:16.000Z,W thread,0,4
vino,2023-09-27T21:08:28.000Z,comparing KD/Steph/Warriors to Dame/Giannis/Bucks & thinking they’re even remotely similar is girl math,0,0
artin,2023-09-27T19:35:43.000Z,"Ya know…it’s only right someone name DOLLA ended up on the Bucks! 
@Dame_Lillard
  @Bucks
  @Giannis_An34",0,2
³⁴,2023-09-27T21:55:17.000Z,Agreed,0,7
TBMPT,2023-09-27T20:47:40.000Z,Dame going to the bucks???? Giannis and dame on the same damn team??? going to have to sleep on this one before it becomes a reality. ,0,2
Daman Rangoola,2023-09-27T21:10:54.000Z,Props to the Bucks for swooping in - Dame and Giannis is fun as hell and worthy of an aggressive move (and the move wasn’t really that aggressive all things considered!). From a skillset POV I always thought the dream superstar pairing was Steph and Giannis…this makes sense,5,79
Kris Pursiainen,2023-09-27T21:02:19.000Z,"New EMERGENCY episode of All Things NBA: From A to Z out now!
@ZakNoble
,  
@AnalyticsCapper
, and I broke down the Damian Lillard trade to the Milwaukee Bucks! From Phoenix's involvement to Dame and Giannis teaming up, all the analysis you need is here.

Presented by 
@BallisLife
:",14,23
HalfAsianAl,2023-09-27T21:28:53.000Z,Found it! Said this over 5 years. This was before the Bucks won a Championship but I still counting this as a win. #Calledit #Dame #Giannis #Bucks,0,1
Adam Ruffner,2023-09-27T22:24:58.000Z,Boy math is about to be whatever I do with my bank account and bucks tix to see giannis and dame,1,20
Nerd Sesh,2023-09-27T22:15:40.000Z,"Our full reaction to the Damian Lillard trade is here!

We broke down how Dame perfectly complements Giannis and makes the Bucks title favorites, how Miami blew it and what to make of Portland and Phoenix's hauls.

Check it out:
https://youtu.be/XYhvhJAnbYE",2,6
MAR!,2023-09-27T20:13:53.000Z,"coming out of twitter cryosleep to say that, at least on the surface level, i am more scared of the dame-giannis bucks in the finals this year than i would have been of the dame-jimmy heat. that is all",0,1
³⁴,2023-09-27T21:57:00.000Z,"Thank you and good luck to you too

Hope we meet in the finals my guy",0,9
Chuck D,2023-09-27T20:48:52.000Z,"Dame 
@Dame_Lillard
 gets a OSCAR ( Robertson) to Giannis (Kareem) 
@kaj33
 .. reminds me of that. OG ballheads know what im saying 
@Bucks
 @KnicksFanTv",17,70
,2023-09-27T23:07:42.000Z,The servers,0,29
yhopp,2023-09-27T23:06:08.000Z,Giannis can’t even gaurd kd,0,4
𝕏,2023-09-27T23:08:03.000Z,KD can’t even guard Giannis,0,17
,2023-09-27T23:19:23.000Z,Why worse?,0,4
Letting Go,2023-09-27T20:23:24.000Z,"Dame to the Bucks is a Game changer for them. Honestly it’s a perfect fit for Dame, because it’s one of maybe 2 teams in the NBA that can mitigate his lack of defense.

It will be interesting to watch Giannis & Middleton offball & how they work in that system. But Bucks are more…",3,38
,2023-09-27T21:02:27.000Z,Lakers in 7,0,5
JV,2023-09-27T21:54:56.000Z,They’re the team to beat,0,7
𝐌𝐚𝐩𝐥𝐞 𝐉𝐨𝐫𝐝𝐚𝐧,2023-09-27T20:56:56.000Z,not moved,0,5
yoyocoño,2023-09-27T23:09:42.000Z,This kid said Giannis can’t guard kd bro  you can tell who watches basketball ,0,15
Pack Mamba,2023-09-27T19:44:40.000Z,Dame Freak,0,0
Bocar Bathily,2023-09-27T20:12:59.000Z,Giannis dame ,0,1
Jeff,2023-09-27T19:36:46.000Z,Giannis + Dame ,0,0
evanem,2023-09-27T20:39:43.000Z,"Dame playing next to Giannis on a very good Bucks team in a meh eastern conference.

What are Dame's MVP odds for next season rn?",0,11
Zappe Brasil,2023-09-27T19:36:18.000Z,"GIANNIS >>>>>>>>>>>>>>>>>>>>>>>>>>>>> AD

LeBron >>> Dame 

Bucks > Lakers",0,33
No Dunks,2023-09-27T20:14:19.000Z," Damian Lillard traded to the Bucks! 

Quick reactions on Dame &amp; Giannis, the Trail Blazers' waiting game, Suns swapping Ayton for Nurkic.

: https://youtube.com/watch?v=_WX8ORKxXdw…
: http://apple.co/3CUsJOD
: http://spoti.fi/2xpWzKb
: http://bit.ly/328C8PN",3,49
³⁴,2023-09-27T21:59:35.000Z,"No idea how y’all stop giannis ngl I mean, do you triple him cause thats the only way to just slow him down?? But then you got dame as well and Khris who doesn’t need much of the ball to make stuff happen

Or do you just put nurk on him and pray or what ",0,5
𝓓𝓑 ☆,2023-09-27T21:47:01.000Z,Dame & Giannis together? O yeah it’s lookin scary,0,8
Brooklyn,2023-09-27T23:42:39.000Z,"Fr, Giannis 100% guards KD but KD doesn’t guard him",0,0
Ran,2023-09-27T20:57:09.000Z,W move,0,4
King Phazo,2023-09-27T21:49:33.000Z,Dame and giannis are the x factors for the bucks,0,1
521musick,2023-09-27T20:04:07.000Z,"Giannis, Dame and Middleton WOW!!!!!!!!!",0,0
kingjaden23,2023-09-27T23:01:35.000Z,These both relatively healthy players,0,12
JuQuotes,2023-09-27T22:38:50.000Z,giannis and dame this is tuff,0,0
,2023-09-27T21:03:43.000Z,they will fear us.,0,2
WVIDTREY35,2023-09-27T21:57:27.000Z,all jokes aside we need that rematch!!!,0,1
Last Take™,2023-09-27T20:40:24.000Z,Giannis x Dame is going to be CRAZY scary ,0,0
deangelo gibson,2023-09-27T19:56:05.000Z,"Nothing easy in sports but this move just gave hope to small markets like my Milwaukee 
@Bucks
 times and things have change its dame time in milwaukee. #dame #giannis #bucks",0,0
Tglizz,2023-09-27T20:41:20.000Z,He knows they aren’t going to be able to get past the Bucks now. Dame/Giannis is going to be a tough duo to beat.,2,149
Nick (boston sports enjoyer),2023-09-27T23:00:46.000Z,"Jimmy using Dame celebrations: Flirting
Bucks getting Giannis’ “preferred teammate”: harassment",1,29
Typical_Laker_fan,2023-09-27T23:01:53.000Z,I can already see Giannis doing the Dame time celebration ,0,1
Mohamed Amir,2023-09-27T21:14:53.000Z,"End of an era indeed! Dame to the Bucks!
Dame plus Giannis Antetokounmpo that's a
lethal duo! Good luck in Milwaukee 
@Dame_Lillard
 #Dametime",0,0
Evan Kane,2023-09-27T22:59:55.000Z,"@Dame_Lillard
 @Bucks
 @Giannis_An34
 
Let's gooo! Welcome to the squad Dame. Looking forward to the most exciting season in Bucks history. Great time to be a Wisconsin sports fan",0,0
Derek W Wyatt - PDX Realtor,2023-09-27T23:34:33.000Z,DM me a price for a Dame & Giannis as Bucks teammates original painting.,0,3
Dude,2023-09-27T21:15:14.000Z,Dame + Giannis is going to be INSANE to watch. Excited to see you have a legit shot to compete for a title.,0,0
John Rocha aka The Outlaw Nation,2023-09-27T19:55:46.000Z,"WOW!!!

This is such a great situation for Dame. It might even convince Giannis to stay even longer with the Bucks.

Miami and others would've had to gut their teams to get Dame and he'd have been worse off.

Now he goes to a title contender with a massive superstar.",0,16
