Username,Time,Tweet,Retweets,Likes
Lisa Pease,2023-09-27T22:13:25.000Z,"Giannis picked Lillard first in the All-Star Game, right?",0,48
Tyler,2023-09-27T22:55:17.000Z,"Let’s gooooo way better than to the heat, honorary bucks fan this season",0,1
NBA Buzz,2023-09-27T20:57:49.000Z,TRUE or FALSE: Damian Lillard & Giannis Antetokounmpo are now the NBA’s best duo ,1,8
Z. Rich ®,2023-09-27T21:30:13.000Z,Lillard & Giannis is crazy ,0,1
Juveron,2023-09-27T22:35:36.000Z,Lillard giannis and middleton chhhhhhh,0,1
Hardwood Knocks,2023-09-27T21:46:28.000Z,"EMERGENCY POD

 Damian Lillard Trade Reaction

—Dame, Bucks, Giannis, etc. (4:19)
—Heat (15:19)
—Raptors (21:38)
—Suns (25:49)
—Blazers, Jrue Holiday, more (33:52)",6,7
Bucks Nation,2023-09-27T21:09:21.000Z,"The Milwaukee Bucks now owe Damian Lillard and Giannis Antetokounmpo a lot of money over the next few years

https://clutchpoints.com/bucks-damian-lillard-giannis-antetokounmpo-contracts-trade…",0,3
Professional Jazz Fan,2023-09-27T20:25:26.000Z,"""Kyrie > Lillard"" "" KD > Giannis"" this is why hoops grid is better",0,29
Jotaro Kujo,2023-09-27T22:56:03.000Z,"I do like Dame to the Bucks. You don’t turn down a Lillard/Giannis duo if given the chance, but, remember who came up with all the last second game winning plays back in the 2021 NBA finals. They will miss Jrue Holiday.",0,1
𝓓𝓑 ☆,2023-09-27T21:47:01.000Z,Dame & Giannis together? O yeah it’s lookin scary,0,8
Matt Smith,2023-09-27T21:44:35.000Z,I still think Lillard & Giannis are late first round players.,0,19
Thee_Unknown420,2023-09-27T23:47:46.000Z,W thread,0,2
Gimme The Hot Sauce Podcast,2023-09-27T23:04:07.000Z,"Will the Damian Lillard trade keep Giannis Antetokounmpo in Milwaukee ?  

CLICK HERE TO SEE FULL CLIP :
https://youtube.com/watch?v=qOlj6muN5Y4&t=2940s…

FOLLOW US FOR MORE : https://linktr.ee/gimmethehotsauce21…",1,5
Dior ♱,2023-09-27T21:40:18.000Z,fb bra,0,1
Dan Shafer,2023-09-27T22:08:29.000Z,"Not only is Giannis the best player that Damian Lillard has ever played with, Khris Middleton might be better than any of his Blazers teammates, too.

Lillard only played with one player who made an All-Star team alongside him his entire career (LaMarcus Aldridge in 2014, 2015).",6,73
vince,2023-09-27T20:12:50.000Z,Heat lost core role players. You gonna be back in the finals vs Lillard/Middleton/Giannis? No shot.,0,15
CULTURE CHECK (™) with Bruno Starzz,2023-09-27T21:44:13.000Z,"Everyone was furrowing their brows about the 3 first round picks they sent to New Orleans at the time, but that Jrue Holiday trade in 2019 ended up being a home run for Milwaukee. Their second franchise title and an additional parlay into Damian Lillard to match Giannis’ prime",0,8
Dullah,2023-09-27T23:23:33.000Z,Can Damian Lillard and Giannis Win A Ring Together? https://youtu.be/cj12Y3cNwHI,1,5
Justin García |,2023-09-27T20:56:30.000Z,"Damian Lillard lead the league last year in scoring as the ball handler in pick and roll situations.
Good luck deciding who you stick with, Dame with the ball or Giannis rolling to the rim",9,80
KrispyFlakes,2023-09-27T21:08:36.000Z,Seeing Lillard and Giannis 4 times a year as a Piston fan ,1,38
Ball Room Service,2023-09-27T22:33:52.000Z,Kevin Durant on Both Damian Lillard and Giannis acting tough and fake for years  like they didn’t need a superstar team to win ,1,8
³⁴,2023-09-27T21:59:35.000Z,"No idea how y’all stop giannis ngl I mean, do you triple him cause thats the only way to just slow him down?? But then you got dame as well and Khris who doesn’t need much of the ball to make stuff happen

Or do you just put nurk on him and pray or what ",0,5
Brick,2023-09-27T21:25:55.000Z,That sentence is wild man can’t believe it’s real,0,1
JV,2023-09-27T21:54:56.000Z,They’re the team to beat,0,7
WVIDTREY35,2023-09-27T21:57:27.000Z,all jokes aside we need that rematch!!!,0,1
WVIDTREY35,2023-09-27T22:00:22.000Z,who dealing with kd and book and a huge threat in beal???,0,1
Emmanuel Acho,2023-09-27T22:22:29.000Z,"Here’s what Dame Lillard teaming up with Giannis means:

• Giannis will solidify himself as a top 10 player ever.

• Dame Lillard will win his first championship.

• The 
@Bucks
 will win championships, plural.",53,231
ᴛʏ  (11-0),2023-09-27T20:45:26.000Z,Lillard when Giannis dunks the ball 40 times and has 85 points while lillard sits in the corner all game,0,1
HasanDadouch7#TeamGriezi,2023-09-27T23:33:34.000Z,What NBA word have I come back to lmao,0,1
Brick,2023-09-27T21:26:41.000Z,Imo losing to the lakers in a finals game 7 is the best worst way to go out. Does that make sense?,0,1
Larry Brown Sports,2023-09-27T22:40:35.000Z,Fans already have great nickname for Damian Lillard-Giannis Antetokounmpo tandem,0,0
Ball Room Service,2023-09-27T22:26:49.000Z,Damian Lillard and Giannis are Frauds criticizing people for building superteam and then doing the same,0,5
Chris Fedor,2023-09-27T22:23:02.000Z,#Cavs chances in East take hit with Damian Lillard joining Giannis -- and not just for this season either,11,59
,2023-09-27T21:03:43.000Z,they will fear us.,0,2
Johnny Boy,2023-09-27T20:21:29.000Z,"vms comparar as duplas
Lillard >Brown
Giannis > Tatum
cabou kkkkkkk",0,16
ESPN Stats & Info,2023-09-27T20:22:31.000Z,"According to 
@EliasSports
:

Lillard and Giannis will become the 2nd teammates in NBA history to play together after each tallying 30 PPG in the prior season.

The other duo was Jerry West and Elgin Baylor, who each averaged 30 on the 1961-62 Lakers and ran it back in 1962-63.",59,234
Tidal League,2023-09-27T23:33:43.000Z,"Are the Milwaukee Bucks “America’s Team” now? 

Damian Lillard, Giannis Antetokounmpo and Khris Middleton…",0,0
John,2023-09-27T21:36:13.000Z,Spoelstra would've deployed him more effectively but Giannis has way more in the tank than Butler at this point and Miami still isn't beating the Nuggets even with Lillard. Giannis + Lillard probably aren't beating them either but it's better odds.,0,0
TMJ4 News,2023-09-27T22:00:00.000Z,"While fans are celebrating the prospect of Damien Lillard playing alongside Giannis Antetokounmpo, there are more than a dozen local community groups who will miss Jrue Holiday’s charitable work in the City of Milwaukee.",16,152
DraftKings Network,2023-09-27T21:45:00.000Z,"Can Damian Lillard and Giannis Antetokounmpo co-exist on the Bucks?
@ByJeffPratt
 saw potential for future issues in today's 
@DKSportsbook
 Space reacting to Wednesday's blockbuster ",7,12
Kris Pursiainen,2023-09-27T21:02:19.000Z,"New EMERGENCY episode of All Things NBA: From A to Z out now!
@ZakNoble
,  
@AnalyticsCapper
, and I broke down the Damian Lillard trade to the Milwaukee Bucks! From Phoenix's involvement to Dame and Giannis teaming up, all the analysis you need is here.

Presented by 
@BallisLife
:",14,23
Jawad جواد,2023-09-27T22:44:12.000Z,"Really,  the slander. Guess 3/4 Finals appearance without Lillard, Giannis, X star means nothing. Certain teams can't get to playoffs, get out of 1st round, or are raising banners for 2nd round exits.  
These casuals are shook. Like the Heat says, the ""For Competitors Only"".",0,1
Hoops on 𝕏,2023-09-27T21:47:57.000Z,"While Lillard (109 DRtg) and Giannis (108 DRtg) aren't lockdown individually, their combined size, length, and iq should wreak havoc. 

Giannis swatted 1.4 shots per game last season. With Lillard applying ball pressure, that dangerous paint protection is only elevated.",1,5
Dan Shafer,2023-09-27T21:19:29.000Z,"The Milwaukee Bucks are championship contenders, folks. And with Giannis Antetokounmpo and Damian Lillard together, that's going to be true for YEARS. 

This is exciting. REALLY exciting. 

The Bucks, man. Whew.",1,13
D. Lind,2023-09-27T22:25:54.000Z,"I’ve always dreamed of a Lillard/Giannis duo and can’t believe it’s actually happening!!!  With that being said, losing Jrue is sad and it cannot be understated with everything he’s done for Milwaukee including helping win that title!!!  Wish him the best also",0,5
SiriusXM NBA Radio,2023-09-27T21:52:25.000Z,"“They’re getting a guy that can dominate a game when Giannis doesn’t have it going”

 
@JumpShot8
 is very excited about the Lillard-Giannis duo #FearTheDeer",2,12
Vincent Goodwill,2023-09-27T23:26:30.000Z,"New for ⁦
@YahooSports
⁩: the Milwaukee Bucks heard Giannis Antetokounmpo loud and clear, acquiring Damian Lillard and setting the stage for a pressure-packed Finals run",16,60
Keith Smith,2023-09-27T22:16:09.000Z,"I broke down today's huge Damian Lillard trade from all angles for 
@spotrac
:

-What does it mean for MIL, Dame and Giannis?
-Where does POR go now?
-Did PHX get better?
-What about MIA and TOR?

Financial impacts for all three teams too. Read more:",6,48
Stadium,2023-09-27T21:32:13.000Z,"“Damian Lillard will be showing up in Milwaukee fully committed. When Giannis was extension-eligible, the Bucks got Jrue Holiday...Now, again, the Bucks make a big move right as Giannis’ future has come into play.”

NBA Insider 
@ShamsCharania
 on Damian Lillard.",8,23
