Username,Time,Tweet,Retweets,Likes
RIP Monty,2023-09-27T19:02:42.000Z,Actually underrated the bucks defense might be really bad now? Will be interesting to watch,0,1
Daymon,2023-09-27T18:25:10.000Z,Bucks defense took a hit but the offense is going to be ,0,0
Chan D. Ler: The Last Mugiwara,2023-09-27T19:54:57.000Z,Losing jrue is a crushing blow to the Bucks defense,0,2
Jim Park,2023-09-27T18:21:46.000Z,Did the Bucks get better by swapping Holiday for Lillard? Tough one. The offense obviously improves vastly but defense falls off the map at PG.,14,129
Jason,2023-09-27T18:24:14.000Z,"Initial thoughts: 

1. Awesome haul for the Blazers!

2. Bucks losing Jrue’s defense is a huge gamble, but it makes sense

3. Lillard/Giannis is going to be so fun to watch

4. Dont love this for the Suns but I get it from a Cap and chemistry perspective. They are insanely deep",0,11
Tariq Turner,2023-09-27T22:11:20.000Z,Bucks’ defense took a major blow.,0,1
Nenad Stefanović,2023-09-27T19:52:56.000Z,"Milwaukee Bucks switched defense for offense! 

Interesting  ...",0,2
Adrian V ✭,2023-09-27T18:33:39.000Z,Bucks just lost there best defender in Jrue Holiday. Damian Lillard a great player but doesn’t bring that defensive presence like Holiday. I see the Bucks defense downgraded a little bit,0,1
Ejiro,2023-09-27T18:58:19.000Z,I’m not sure about the basketball fit between Dame and Giannis. And also I wonder how much losing Holiday affects the Bucks defense. It’s kind of a weird trade for the Blazers and a solid move for the Suns.,0,0
Brandon Kinnard,2023-09-27T19:18:47.000Z,"Alright, I gotta give my thoughts on this quick:

1) The Blazers are my west coast team and Dame is awesome, so I'm pumped.
2) This is the modern NBA. You've constantly gotta work to improve and appease your superstar.
3) I'm concerned about the Bucks defense.
4) Gonna miss Jrue.",0,6
Josh Engleman,2023-09-27T18:37:13.000Z,"Shoutout to 
@kmedved
 for just having this out there for everyone. I think there's something to the Bucks trading guard defense for guard offense, but there's a case to be made that Dame and Jrue are equal. Very interesting bet by the Bucks.",7,16
Wake Your Asses Up,2023-09-27T18:24:27.000Z,Bucks Defense just took a major hit. Blazers not bad at all and Suns get cap relief down the road,0,2
Anthony,2023-09-27T20:09:31.000Z,"Bucks fans: Look where Jrue and Cater are on this graphic.

Then look where Dame and Connaughton are.

That Bucks defense miiiight just fall off a cliff",1,0
key,2023-09-27T20:03:12.000Z,It don’t bucks defense abt to be Swiss cheese,0,1
Eli Skaljac,2023-09-27T18:44:52.000Z,"Love Jrue, best guard defender in the league.. the gap between him and Dame tho is HUGE. Bucks defense will stay elite as long as Giannis/Brook are there. Dame makes their offense elite as well now. Jrue had been awful offensively in the postseason",0,1
Letting Go,2023-09-27T20:23:24.000Z,"Dame to the Bucks is a Game changer for them. Honestly it’s a perfect fit for Dame, because it’s one of maybe 2 teams in the NBA that can mitigate his lack of defense.

It will be interesting to watch Giannis & Middleton offball & how they work in that system. But Bucks are more…",3,38
P A P I,2023-09-27T18:35:29.000Z,Yes. Bucks defense used to be good as Jrue used to lock down PGs,1,2
Freud Hoiberg,2023-09-27T18:28:50.000Z,"Agreed, but the Bucks defense just got noticeably worse!",0,6
Greg,2023-09-27T18:42:29.000Z,"While the league tries to figure out how to guard the Bucks, the Kings already realized that defense is for nerds and you simply need to outscore them. 

Light the Beam.",36,302
Raheem Palmer,2023-09-27T18:28:53.000Z,"I always felt like the Giannis and this Bucks team needed a combo guard who can truly break down the defense and get his own shot particularly in the playoffs. Explosive scoring from the guard position has always been missing from this team.

They finally have their guy in Dame.",2,41
Robby Kalland,2023-09-27T18:45:53.000Z,"i get the ""jrue is important"" thing with the bucks i really do, but he also shot like 39% from the field for 3 straight playoffs. dame's a considerable upgrade for what this bucks team needed, even understanding what you lose on defense.",1,18
De Von Baylor,2023-09-27T18:59:10.000Z,Bucks defense was already bad and it’s worse now. That starting 5 can be exploited at all 4 positions except Giannis,1,3
Melissa Shepard,2023-09-27T21:45:17.000Z,"glad he didn't go to Miami, Bucks defense gets a downgrade now I guess though so....who knows! we just love to see Miami fans cry here in Boston ",0,1
The Beautiful Struggle,2023-09-27T18:46:12.000Z,"Bucks defense will suffer but their offense will be more diverse with lillard know. Know with Lillard, Giannis can play his game a lot more as it opens up the dimension he relies on heavily. This will be interesting to see. Think Bucks mos def have a shot to be in ECF imo with mo",0,1
Boston Sports Enjoyer,2023-09-27T18:48:22.000Z,Do you realize how horrible the Bucks defense is now? Tatum and Brown are going to FEAST against them,1,27
Bucks Film Room,2023-09-27T23:25:58.000Z,"Bucks offense will be a strength in the postseason now. Middleton is clear 3rd option instead of 2A. 

Defense will need to answer questions, but there is time and likely some moves before then.",4,70
Vanessa Paler,2023-09-27T19:06:54.000Z,"For me it didn’t make sense acquiring him! 

I’m interested how come it was Jrue that got shipped and not Middleton! I want to see how the Bucks defense will be now! But I’m excited for Adrian to coach Dame!",0,1
Jacob Pickup,2023-09-27T18:20:48.000Z,"Giannis finally has no excuse to show an offball game
Bucks defense looks interesting

I assume Portland will move jrue at some point this year? And that’s how they’ll make up for the lack of concrete young assets

2029 unprotected first could be wild

Really hope Keon gets run",0,5
Mic Jones,2023-09-27T21:33:18.000Z,"Silver lining. 
The Bucks' perimeter defense took a hit today.",0,4
Sergeant--Sarge for Short,2023-09-27T19:42:52.000Z,"The Bucks defense w/out Holiday will suffer. He can guard 1-3. Offensively, they obviously gained range, Dame should make it easier for Giannis. The key for me is do they get an entire season out of Khris Middleton. And who's off the bench? 
Bucks, Miami, Sixers still together.",0,2
Christopher Jacob,2023-09-27T18:53:45.000Z,The Bucks defense at the guard position is nonexistent now. There’s not a lot of depth there.,0,3
Michael Shaw,2023-09-27T18:31:52.000Z,Lose obviously an elite defender and decent scorer. Bucks have enough defense with Giannis and Brooke but not sure who they match on the perimeter to say a Tatum or Brown. Dame is a great scorer obv. There are plenty of Grayson Allen's out there so not worried about that one.,1,19
Nashty,2023-09-27T20:48:37.000Z,I remember he destroyed Bucks’ defense last season ,0,1
,2023-09-27T19:05:30.000Z,This is true. We are still favorite in my opinion. Bucks got Lillard but lost their defense. Jrue was top 5 best guard defender Lillard can’t play D,5,36
kahin (giannis enjoyer),2023-09-27T19:00:35.000Z,The + on the offense is bigger than the - on the defense so hopefully bucks bounces back as a winner,0,23
Steve Jones Jr.,2023-09-27T18:26:47.000Z,"So the Bucks clearly heard everything Giannis said and said bet. But. They traded Jrue. And I have defense questions. But, Dame/Giannis pick and roll seems not fun especially with a small lineup.",11,109
Kantō Osūpa,2023-09-27T21:48:37.000Z,Bucks defense slipped when Brook or Giannis is out. Their primary defensive characteristic is Brook and Giannis being the backline defenders.,0,2
Cj Martin,2023-09-27T18:31:36.000Z,Huh?? I’m a laker fan bucks got much better jrue offensively is not close and bucks have a great front court of defense bucks the favorite to win the chip,0,7
Kim Sheff,2023-09-27T19:33:15.000Z,"Nah, I’m good. Jrue was a demon against the C’s. Even poor Allen played pesky defense. Bucks D took a huge hit. Giannis off knee surgery, Middleton issues also",0,10
Jayski,2023-09-27T19:53:36.000Z,"that bucks defense is food now im not worried about giannis and brook, we have the personnel to force them to play on the perimeter",0,4
Drew,2023-09-27T19:10:43.000Z,"Dog the Bucks defense just took a horrible step backwards and we can end up with Jrue instead of Dame, and he's cheaper, and would make a huge difference on offense & defense for us!",0,1
super’s Ego,2023-09-27T19:26:12.000Z,The Bucks defense is good enough. Offense was the problem,0,3
Julieanne Gilchrist,2023-09-27T19:05:32.000Z,Bucks defense in playoffs last two years aint been good. They need buckets. Giannis/brook will carry their defense lol,0,9
