Username,Time,Tweet,Retweets,Likes
Astro,2023-09-27T23:01:19.000Z,kd and book ofc,0,29
Skuba Steve,2023-09-27T23:35:19.000Z,Definitely finna add that Dame bucks Jersey to my collection ,0,0
✞rap,2023-09-27T23:56:26.000Z,"@Mbarnes_
 damn when we gone announce gettin dame 
@Bucks
 ?",0,0
Mitchell Maurer,2023-09-27T23:27:52.000Z,"Underrated beneficiary of the Bucks/Dame trade: Bobby Portis

Portis won't start but will likely get a bunch of opportunities to run P&R with Lillard, especially in the regular season. If he can be efficient and shoot the ball well, that's a great way to generate points.",5,51
,2023-09-27T22:52:36.000Z,"Meanwhile Bucks signed Dame and Giannis in the gym with Hakeem

76ers will never see success LMAO",4,103
Home Court aDvantage,2023-09-27T23:11:20.000Z,"I'm told by Celtics fans all year long that player x is bad because they don't play D when it comes to trade ideas. Now these same people are gassing up Dame to the Bucks.

Just pick a value. Do you value D or not? If you do, Dame on the Bucks shouldn't make them runaway   favs",0,5
Elder Marques Johnson,2023-09-27T22:32:04.000Z,"Man, we been waiting for someone like you.
#gamechanger",19,525
Emmanuel Chokuba,2023-09-27T22:59:31.000Z,"Episode 96. Dame to the #Bucks 
Special guest 
@MikeDobbs94
 and 
@DaRuffWay_
 both #MiamiHeat fans come on the show to talk #DameTime  trade and how it affects the entire NBA. Are the Bucks and #Celtics the 2 best teams in the East? #NBATwitter",5,4
JAXSON REED HAYES,2023-09-27T23:13:13.000Z,Focus on your retirement home team bozo,0,13
DERELEEK,2023-09-27T22:31:41.000Z,I love that Dame to Bucks trade!,0,2
Troy Wohlt,2023-09-27T23:41:34.000Z,"Dame! My favorite non-Buck is now a Buck!!!!  Gonna be more river backflips in Milwaukee June ‘24!  Light it Up!!!

https://fb.watch/nktG8Bt_Wm/?mibextid=M4545i…",0,0
Mihir / IG:,2023-09-27T23:18:28.000Z,Dame to the Bucks… we’re so finished man. Bucks are crushing us if we even get past Denver this year,0,11
Bopper,2023-09-27T23:30:13.000Z,"Call me crazy but I’d take CURRENT Jrue over CURRENT Dame Lillard any day.

•The Suns get desperately needed depth.

•The Blazers get two young studs who offer more on both ends than an aging Dame could.

•Bucks are losers here in my opinion.",0,1
Michael Coonen,2023-09-27T22:38:11.000Z,"We got Dame 
@Bucks
 …let’s go get JT 
@packers
 #FearTheDeer #GoPackGo",0,0
csb,2023-09-27T23:19:20.000Z,Dame’s first “getting bucks in Milwaukee” bar is gonna go so hard,0,12
Crypto Elwis,2023-09-27T23:46:05.000Z,"Senator Bob Menendez Faces Bribery and Corruption Charges Amidst #Crypto Controversies
#Airdrop #Binance #DeFi #memecoin #pulsechain #Dame #Jrue #Bucks #cryptonewserc20 #Corinthians #cashapptrivia #Lillard #Ethereum #Bitcoin #Pepecoin #NFT #NFTs #BTC",8,8
Panthers.alerts,2023-09-27T23:00:57.000Z,Me and bro ,0,0
𝕏,2023-09-27T23:08:03.000Z,KD can’t even guard Giannis,0,17
Denver Sports,2023-09-27T22:45:00.000Z,"MPJ's reaction to the huge NBA trade on Wednesday that sent Dame to the Bucks was caught on camera | by 
@Shapalicious",3,6
,2023-09-27T23:07:42.000Z,The servers,0,29
عمر عثمان Mike Tyson’s Translator,2023-09-27T23:01:18.000Z,The refs,0,13
yoyocoño,2023-09-27T23:09:42.000Z,This kid said Giannis can’t guard kd bro  you can tell who watches basketball ,0,15
Miami Heat Beat (We Just Cover The Team),2023-09-27T22:43:05.000Z,"Make sure to tune in live for the MHB podcast later on tonight. 

LIVE reaction to Dame Lillard to the Bucks, where does Miami go from here and why Joe Cronin is a generational hater

8:30 PM EST",5,14
2ndStories,2023-09-27T23:17:11.000Z,This is a weird way to find out Dame is on the bucks,0,0
kingjaden23,2023-09-27T23:01:35.000Z,These both relatively healthy players,0,12
Jerett,2023-09-27T23:30:09.000Z,We love you to Dame ,0,1
Michael Randall,2023-09-27T23:29:24.000Z,"Dame lands at the Bucks, Pippen & LMA in town & just a little game of hoops in Melbourne tonight. SuperCoach locks out, make sure you get your teams in. Bring on #NBL24!!
I’ll post a stack of SuperCoach stuff today - most of it free - and some NBL reading for anyone interested.",0,11
FlowLifer,2023-09-27T22:57:07.000Z,They def do ,0,10
