Username,Time,Tweet,Retweets,Likes
Legion Hoops,2023-09-27T21:59:21.000Z,"Damian Lillard’s agent, Aaron Goodwin on the Heat:

“They did everything they could to acquire Dame. It takes two to get a deal done. I appreciate all that Pat, Andy and Micky did to try and make this happen.”

(via 
@Anthony_Chiang
)",65,352
Landon,2023-09-27T22:59:47.000Z,Still haven’t fully processed that Damian Lillard is actually a Buck lmfaooo,3,74
Austin Konenski,2023-09-27T22:56:18.000Z,"It appears Damian Lillard backed out of his “Miami and Miami only” request.

I can’t blame him knowing the circumstances surrounding the Trail Blazers and Heat.",5,66
Erik Slater,2023-09-27T23:17:13.000Z,"Damian Lillard’s agent told the Nets and Bucks 10 days ago that he was interested in coming to both teams, per 
@MarcJSpears
.

Brooklyn was not interested in entering negotiations.",93,435
Austin Konenski,2023-09-27T21:47:57.000Z,"It sucks the Heat missed out on Damian Lillard but I am very glad this saga can be put in the rear view mirror.

I would have loved a different outcome but we can finally put our focus on the upcoming season.",6,119
Awful Announcing,2023-09-27T22:05:37.000Z,‘Dan Le Batard Show’ EP goes after ESPN and The Ringer for colluding to keep Damian Lillard out of Miami http://ow.ly/xVqH104VSIf,50,66
Matt Hanifan,2023-09-27T22:16:56.000Z,"If Portland was not willing to negotiate with Miami for Damian Lillard, I doubt they would for Jrue Holiday, too.

Heat will have interest since they do their due diligence, but I honestly don’t think either side wants to do business w/ one another for a while after all this LOL",14,67
ᵂᴵᴸᴸ,2023-09-27T21:34:26.000Z,"The national media absolutely crucified the Houston #Rockets for trading James Harden for the largest collection of first round picks in NBA history. 

I wonder will the same energy be upheld for what the Portland Trailblazers traded Damian Lillard for?",4,145
scary bradshaw,2023-09-27T21:59:46.000Z,Getting a Damian Lillard tattoo on my butthole. The letter O  anyone who doesn’t is a casual,0,71
Complex Sports,2023-09-27T22:35:34.000Z,"THE BEST DUOS IN THE NBA RIGHT NOW  

. Steph Curry and Klay Thompson
. LeBron and Anthony Davis 
. Jayson Tatum and Jaylen Brown
. Giannis Antetokounmpo and Damian Lillard

LINK TO FULL LIST: https://bit.ly/3REfdZc",20,58
ClutchPoints,2023-09-27T23:05:28.000Z,"Damian Lillard's agent Aaron Goodwin privately told the Milwaukee Bucks and Brooklyn Nets that his client did show interest in playing for either of those teams after trade talks with the Miami Heat went nowhere, per 
@MarcJSpears
.",20,181
JackedRamsays,2023-09-27T23:44:24.000Z,"Damian Lillard has been traded to the Milwaukee Bucks

Tonight @ 6:30 PM 
@DannyMarang
 & 
@BrandonSprague",5,55
NetsKingdom,2023-09-27T22:51:15.000Z,"Damian Lillard Agent privately told the Bucks and Nets 10 days ago that Dame would be interested in a deal there via 
@MarcJSpears",17,163
Sports Business Classroom,2023-09-27T22:51:11.000Z,"Join us for a LIVE Zoom call today with ESPN NBA Front Office Insider & SBC’s Lead Instructor, 
@BobbyMarks42
! 

REGISTER: http://bit.ly/3LFzidw

 Time: 8:00 PM ET | 5:00 PM PT

Bobby will be breaking down everything about the Damian Lillard deal!

#BreakintoBasketball",7,28
Wake n Jake,2023-09-27T22:00:01.000Z,"Damian Lillard to the Bucks & AL West is Madness

WATCH: http://youtu.be/3deeVld_AN8
LISTEN: http://podcasts.apple.com/us/podcast/predicting-playoff-breakout-stars-with-foolish/id1526481041?i=1000629077251…",5,19
No Trade Clause,2023-09-27T21:43:21.000Z,"Our Bucks, Trail Blazers, and Suns Cap Sheets have been adjusted following the blockbuster Damian Lillard trade.

Luxury tax implications, open roster spots, and other important details can be found below:

https://notradeclause.com/milwaukee-bucks/…

https://notradeclause.com/portland-trail-blazers/…",4,12
NBA TV,2023-09-27T21:18:18.000Z,"""From the Bucks standpoint, it was a difficult task to include Jrue Holiday...they felt like Damian Lillard embodied what the Milwaukee Bucks organization is all about.""
@ChrisBHaynes
 with the latest on the blockbuster Damian Lillard trade live NOW on NBA TV",68,177
Paul Henning,2023-09-27T22:58:01.000Z,"The Milwaukee Bucks have made unquestionably the biggest trade in franchise history since Oscar Robertson today in acquiring 7x All Star PG Damian Lillard

In just under a month, he’ll suit up 
@FiservForum
 season & home opener vs Sixers

#FearTheDeer",5,109
