Username,Time,Tweet,Retweets,Likes
,2023-09-27T19:06:49.000Z,Warriors/Bucks NBA Finals. We will be there,1,0
SportsRadioAmerica,2023-09-27T23:00:35.000Z,"https://sportsradioamerica.com/2023/09/27/its-dame-time-in-milwaukee/…
@SkPatrick90
 breakdown the blockbuster trade of Damian Lillard to the Bucks. 

#Nba",2,2
Jingles,2023-09-27T22:31:57.000Z,"Out of literally every other team in the NBA besides the jazz, the bucks are the team that I wanted Damian Lillard to get traded to the most

I really hope they win it all this year. And I really hope dame was just bluffing with his whole “I won’t show up to training camp” thing",0,54
The Moneyline,2023-09-27T22:12:39.000Z,"DAME LILLARD TRADED TO THE MILWAUKEE BUCKS! | BUCKS (+375) TO WIN IT ALL!?! The BEST BETS Podcast

#damelillard #bucks #nba #bestbets #giannisantetokounmpo #dame #GamblingX #damianlillard #NBATwitter #trending 

https://youtu.be/_WWAeki4--4?si=Z-o5z_rKZ0t0dBYx…",0,0
Daniel Okin,2023-09-27T20:47:59.000Z,Sometimes the NBA really has a habit of painting itself ,0,21
Bape Bruce,2023-09-27T20:32:18.000Z,Bucks NBA champions already.,0,0
Carson Orvis,2023-09-27T21:45:03.000Z,"Somehow Khris Middleton suddenly improved in the eyes of the public when the Dame trade happened. It was pretty clear he was on a decline, but suddenly he’s great again? Ok. #Bucks #NBA",0,1
the real RMJ=H,2023-09-27T23:17:10.000Z,"Congratulations to the Bucks, NBA Jam champions (I think)",0,3
"Kyle, Brust, and Nortman",2023-09-27T21:15:00.000Z,"""I love when the #Bucks make a splash in the #NBA, I text someone ""I Love This TEAM!"" - 
@ZoraStephenson
 

Tune In: http://youtube.com/watch?v=eW4MLJlcDkg…… 
@ESPNMilwaukee
 @ESPNMadison
 @espnbd",1,11
Kyle,2023-09-27T23:10:10.000Z,Absolutely hilarious to me the folks trying to minimize & downplay Dame joining Giannis. Out y’all got damn minds lol #Bucks #NBA #DamianLillard,0,0
Ball Don’t Lie,2023-09-27T23:12:19.000Z,"The Bucks are now the favorite to win the NBA title, per 
@BetMGM
.",6,18
Michael Karvelis,2023-09-27T20:41:56.000Z,"Damian Lillard traded to the Bucks! #NBA 

Who won the trade?

What about the Miami Heat?",2,1
Michael Marzzacco,2023-09-27T20:03:45.000Z,Suns vs Bucks NBA Finals calling it now,0,0
Emmanuel Chokuba,2023-09-27T22:59:31.000Z,"Episode 96. Dame to the #Bucks 
Special guest 
@MikeDobbs94
 and 
@DaRuffWay_
 both #MiamiHeat fans come on the show to talk #DameTime  trade and how it affects the entire NBA. Are the Bucks and #Celtics the 2 best teams in the East? #NBATwitter",5,4
Sport City Chefs,2023-09-27T22:23:02.000Z,"Maybe 
@andrejackson111
 plays the Draymond role in place of Connaughton to close out games in 4th qtr. #Bucks #NBA",0,0
Rachel Taylor,2023-09-27T21:49:31.000Z,Bucks all the way!,0,0
Bill Speros,2023-09-27T20:17:57.000Z,"Bucks #NBA Odds

“Milwaukee was already a Finals frontrunner and now finds itself as even more of a favorite while Phoenix adds some needed depth."" - Johnny Avello, DK  Director of Race & Sportsbook Operations  

Dame Lillard Odds Movement & Analysis via 
@DKSportsbook",3,2
D-Ludd,2023-09-27T22:49:30.000Z,Bucks fan right now after getting Damian Lillard #bucks #nba,0,0
Steve,2023-09-27T21:17:12.000Z,Ok bucks nba fans fear the deer Damian Lillard checklist which the following is needed top 2 answers are correct under Adrian griffin skillset terms no you can't do usual social media platforms terms:,1,0
Vendetta Media,2023-09-27T23:33:19.000Z,"Matt reacts to Damian Lillard getting traded to Bucks
@mph_824_
 

#NBA #NBATwitter #FearTheDeer #RipCity",1,1
Luke Dodson,2023-09-27T22:29:07.000Z,"https://youtu.be/m47xPSbbvvk 

Dame Traded to Bucks... NBA BLOCKBUSTER Trade Reaction || Never Wrong Maybe Right. Link included in tweet, go check it out!! #DameTime #DamianLillard #bucks #suns #NBA #basketball #sports #Trailblazers #Blazers #Giannis #trade #Ayton #HEATCulture #Miami",0,0
AJ Salah,2023-09-27T20:07:59.000Z,"Dame Lillard is now a Buck

And the Bucks are now NBA title favorites

My latest for 
@Covers
:",3,7
Brian Witt,2023-09-27T20:08:07.000Z,"With Damian Lillard traded to the Bucks and Udonis Haslem retiring, the Warriors now have the 3 longest-tenured players with the same team in the entire NBA:

1. Steph - entering 15th season
2. Klay - entering 13th season
3. Draymond - entering 12th season

Giannis (11) is next",91,1K
Danny Grogg,2023-09-27T23:56:50.000Z,"Coming from a Blazers fan perspective, here's my take on Portland trading Dame to Milwaukee, and how all players & teams should be hyped for it!

Why The Damian Lillard Trade Is FANTASTIC For EVERYONE https://youtu.be/gVFW7H7lNso?si=s9mDjGxdTkYPAdKA…

#RipCity #Portland #Blazers #Suns #Bucks #Ayton #NBA",1,1
Abby the Sports Artist,2023-09-27T23:30:22.000Z,"Will I be painting a 
@Bucks
 themed Dame painting? Absolutely yes. He was the first player to inspire me to play bball in middle school, and the first athlete I ever painted. So you see, my art career wouldn’t be where it is now if it hadn’t been for his NBA career God is good!",7,99
Five Reasons Sports,2023-09-27T23:24:22.000Z,The Milwaukee Bucks are now the favorite to win the NBA title at all the major online sportsbooks,21,101
Letting Go,2023-09-27T20:23:24.000Z,"Dame to the Bucks is a Game changer for them. Honestly it’s a perfect fit for Dame, because it’s one of maybe 2 teams in the NBA that can mitigate his lack of defense.

It will be interesting to watch Giannis & Middleton offball & how they work in that system. But Bucks are more…",3,38
Mike North,2023-09-27T20:06:57.000Z,So #damienlillard leaving the small fish in a lil pond world for the major lights now.. went to the team that has the best big man and superstar ..outstanding pickup for bucks #NBA,0,7
Sports hub,2023-09-27T20:03:03.000Z,"Milwaukee Bucks NBA Championship Odds 2024: Damian Lillard trade sees Bucks emerge as odds-on favorites https://ift.tt/1oWY0Vm
#sports #livesports",0,0
Jeff Sherman,2023-09-27T20:36:24.000Z,"NBA regular season wins adjustments

Bucks 52.5 -> 55.5
Suns 50.5 -> 51.5
Heat 48.5 -> 45.5
Trail Blazers 23.5 -> 22.5",15,30
TSR Sports,2023-09-27T20:22:08.000Z,"Damian Lillard TRADE: Bucks NBA CHAMPS 2024!? #shorts https://youtu.be/H4Jvvpl62c4?si=cKi3ZoTNh5-116Ry… via 
@YouTube
 #NBA #nbanews #nbatrade #DamianLillard #Blazers #bucks #Suns",0,2
